Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S201126	Conflict_Resolution	LEFT	Time_Max_Exceeded	1500.06759999997	1166.666669	n/a	n/a	2020-11-26 13:54:32.970014	2020-11-26 13:54:34.470254	1	8.78525935	True	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	RIGHT	RIGHT	951.115399999935	1150.0000023	n/a	n/a	2020-11-26 13:54:35.640473	2020-11-26 13:54:36.799198	2	8.78525935	False	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	RIGHT	RIGHT	595.747900000106	1033.3333354	n/a	n/a	2020-11-26 13:54:37.852054	2020-11-26 13:54:38.655351	3	8.78525935	False	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	LEFT	Time_Max_Exceeded	1500.07389999996	1450.0000029	n/a	n/a	2020-11-26 13:54:40.123970	2020-11-26 13:54:41.624687	4	8.78525935	True	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	RIGHT	RIGHT	888.064900000018	1466.6666696	n/a	n/a	2020-11-26 13:54:43.111049	2020-11-26 13:54:44.207019	5	8.78525935	False	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	RIGHT	LEFT	700.595600000042	1416.6666695	n/a	n/a	2020-11-26 13:54:45.642338	2020-11-26 13:54:46.551683	6	8.78525935	True	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	RIGHT	Time_Max_Exceeded	1500.06559999997	600.0000012	n/a	n/a	2020-11-26 13:54:47.169021	2020-11-26 13:54:48.669859	7	8.78525935	True	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	LEFT	Time_Max_Exceeded	1500.06260000009	516.6666677	n/a	n/a	2020-11-26 13:54:49.205910	2020-11-26 13:54:50.705917	8	8.78525935	True	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	RIGHT	Time_Max_Exceeded	1500.07399999981	1150.0000023	n/a	n/a	2020-11-26 13:54:51.876289	2020-11-26 13:54:53.376382	9	8.78525935	True	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	LEFT	LEFT	1303.09119999993	766.6666682	n/a	n/a	2020-11-26 13:54:54.160500	2020-11-26 13:54:55.671932	10	8.78525935	False	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	LEFT	LEFT	519.712099999879	716.6666681	n/a	n/a	2020-11-26 13:54:56.407700	2020-11-26 13:54:57.134957	11	8.78525935	False	n/a	n/a	n/a	n/a
S201126	Conflict_Resolution	LEFT	LEFT	457.202999999936	1300.0000026	n/a	n/a	2020-11-26 13:54:58.454579	2020-11-26 13:54:59.119873	12	8.78525935	False	n/a	n/a	n/a	n/a
