index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
10	Self	S200303	0.5	2	1	1	2	0.6	1283.3333359	1433.3333362	1933.3333372	1500.000003	Minor	Good_deeds	28	You have started a hotline for victims of bully	C1_35	0.0	Easy	I2_48	50	Nanyang Technological University is in Australia	0.0	Yes	RIGHT	603.7969999999859	RIGHT	448.4654000000319	LEFT	1341.5132999999742	LEFT	1495.5678000000034	10.6	0.6	Probable_Truth	LEFT	RIGHT	4	906.0763999999608	0	2020-03-03 14:27:49.042416
31	Self	S200303	0.6666666666666666	2	1	2	1	0.5	1283.3333359	1500.000003	1933.3333372	1783.3333369	Minor	Good_deeds	50	You have followed instructions	C2_30	0.5	Hard	I2_60	42	Dutch is the 6th Europe's most widely spoken language	0.888888888888889	Yes	LEFT	668.1467999999313	LEFT	928.179499999942	RIGHT	1183.4956999999804	LEFT	2331.1592999999675	10.6	0.5	Probable_Lie	RIGHT	RIGHT	1	714.6023000000241	1	2020-03-03 14:28:13.939370
34	Self	S200303	0.8333333333333334	1	2	1	2	0.5	1283.3333359	1066.6666688	2066.6666708	2066.6666708	Minor	Good_deeds	47	You have confessed to your mistake	C2_57	1.0	Hard	I2_38	28	The first Grammy awards was held in 1959	1.0	Yes	RIGHT	575.550299999918	RIGHT	1262.6721000000316	RIGHT	1212.9946000000018	RIGHT	1829.5891999999867	11.1	0.5	Probable_Truth	LEFT	LEFT	1	884.1519999999718	2	2020-03-03 14:28:38.763982
109	Computer	S200303	0.5	2	1	2	1	0.1	1000.000002	1066.6666688	1933.3333372	2066.6666708	Major	Wrong_doings	31	You have cursed at your loved ones	C2_40	1.0	Easy	I1_1	2	Malay is one of the races in Singapore	0.611111111111111	No	LEFT	666.6378999999552	RIGHT	480.8075999999346	LEFT	1775.7360000000515	RIGHT	1287.8294000000778	11.1	0.1	Probable_Truth	RIGHT	RIGHT	4	858.030183003844	3	2020-03-03 14:29:02.458783
75	Self	S200303	0.6666666666666666	2	1	1	2	0.4	1433.3333362	1216.6666691	1933.3333372	2350.0000047	Major	Wrong_doings	42	You have switched off appliances when not in use	C1_36	0.0	Hard	I2_33	26	There are 9 rings in the Olympic flag	0.0	Yes	RIGHT	900.2398999999741	RIGHT	513.0675999999994	RIGHT	1836.888300000055	LEFT	1590.896100000009	11.5	0.4	Probable_Truth	LEFT	LEFT	2	700.2833000000237	4	2020-03-03 14:29:27.507064
4	Self	S200303	0.5	1	2	2	1	0.1	1150.0000023	1433.3333362	2500.000005	2500.000005	Minor	Wrong_doings	59	You have given directions to a lost tourist	C2_26	1.0	Easy	I1_32	31	The Earth turns the closest to the sun in May	0.833333333333333	Yes	RIGHT	648.3630000000176	LEFT	893.4383000000707	RIGHT	1336.0172000000148	LEFT	3883.877200000029	11.4	0.1	Probable_Lie	LEFT	LEFT	5	1018.5731999999916	5	2020-03-03 14:29:55.442361
6	Self	S200303	0.5	1	2	2	1	0.4	1283.3333359	1150.0000023	2216.6666711000003	2066.6666708	Major	Good_deeds	7	You have used a fake name online	C1_7	0.15	Easy	I2_46	17	The Earth is round	0.0555555555555556	No	RIGHT	393.0678000000398	RIGHT	848.9455000000135	RIGHT	1086.4659000000074	RIGHT	885.7239000000163	11.8	0.4	Probable_Truth	LEFT	LEFT	3	1199.9174999999696	6	2020-03-03 14:30:19.146627
105	Computer	S200303	0.5	2	1	1	2	0.5	1500.000003	1500.000003	1783.3333369	2500.000005	Minor	Wrong_doings	40	You have thrown your trash into the bin	C1_51	0.0	Easy	I2_1	1	Beer is an alcoholic drink	1.0	Yes	LEFT	1045.1601999999411	LEFT	632.4256999999989	RIGHT	1324.1150999999718	RIGHT	840.276499999959	11.8	0.5	Probable_Lie	LEFT	LEFT	5	810.8392792905895	7	2020-03-03 14:30:43.659324
3	Self	S200303	0.5	1	2	1	2	0.7	1066.6666688	1500.000003	1933.3333372	1933.3333372	Major	Good_deeds	39	You have pretended to be busy to avoid a social situation	C2_59	0.95	Hard	I1_17	4	Singapore has four seasons	0.777777777777778	Yes	RIGHT	617.1982000000753	RIGHT	700.1021000000947	RIGHT	1501.3744999999972	LEFT	1199.1756000001033	12.5	0.7	Probable_Truth	LEFT	RIGHT	6	1153.5182999999734	8	2020-03-03 14:31:07.834756
108	Computer	S200303	0.5	2	1	2	1	0.6	1216.6666691	1350.0000027	2500.000005	1500.000003	Major	Good_deeds	1	You have offered a listening ear to a friend	C2_28	0.45	Hard	I1_53	48	Saturn's rings are between 30 and 300 feet thick	0.0	No	LEFT	778.6431000000675	LEFT	400.11119999996936	RIGHT	1472.3698999999897	LEFT	4566.523899999993	12.5	0.6	Probable_Lie	LEFT	RIGHT	3	773.7037684554871	9	2020-03-03 14:31:34.955630
