Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S200116	Conflict_Resolution	LEFT	LEFT	612.23300000006	1400.0000028	n/a	n/a	2020-01-16 12:41:01.628139	2020-01-16 12:41:02.450009	1	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	612.897799999928	633.3333346	n/a	n/a	2020-01-16 12:41:03.100817	2020-01-16 12:41:03.921631	2	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	LEFT	393.243100000063	1466.6666696	n/a	n/a	2020-01-16 12:41:05.407810	2020-01-16 12:41:06.009201	3	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	552.225600000043	1083.3333355	n/a	n/a	2020-01-16 12:41:07.112379	2020-01-16 12:41:07.873152	4	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	403.115899999989	616.6666679	n/a	n/a	2020-01-16 12:41:08.510004	2020-01-16 12:41:09.120506	5	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	533.461299999999	1000.000002	n/a	n/a	2020-01-16 12:41:10.139579	2020-01-16 12:41:10.880609	6	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	325.450400000022	1000.000002	n/a	n/a	2020-01-16 12:41:11.899723	2020-01-16 12:41:12.432591	7	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	411.470699999995	1050.0000021	n/a	n/a	2020-01-16 12:41:13.501923	2020-01-16 12:41:14.120364	8	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	330.188700000008	1083.3333355	n/a	n/a	2020-01-16 12:41:15.222242	2020-01-16 12:41:15.760518	9	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	373.93140000006	1183.3333357	n/a	n/a	2020-01-16 12:41:16.963036	2020-01-16 12:41:17.544476	10	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	423.687200000018	1166.666669	n/a	n/a	2020-01-16 12:41:18.730417	2020-01-16 12:41:19.360743	11	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	385.322699999961	1050.0000021	n/a	n/a	2020-01-16 12:41:20.431545	2020-01-16 12:41:21.025149	12	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	449.869499999977	850.0000017	n/a	n/a	2020-01-16 12:41:21.894403	2020-01-16 12:41:22.552671	13	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	469.557500000064	783.3333349	n/a	n/a	2020-01-16 12:41:23.355574	2020-01-16 12:41:24.032682	14	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	379.602399999953	1216.6666691	n/a	n/a	2020-01-16 12:41:25.268711	2020-01-16 12:41:25.856341	15	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	685.426799999959	1183.3333357	n/a	n/a	2020-01-16 12:41:27.058769	2020-01-16 12:41:27.952413	16	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	448.565400000007	1283.3333359	n/a	n/a	2020-01-16 12:41:29.256377	2020-01-16 12:41:29.912229	17	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	340.826800000059	1016.6666687	n/a	n/a	2020-01-16 12:41:30.947328	2020-01-16 12:41:31.496891	18	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	627.352599999995	616.6666679	n/a	n/a	2020-01-16 12:41:32.133455	2020-01-16 12:41:32.970274	19	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	427.688900000021	633.3333346	n/a	n/a	2020-01-16 12:41:33.621182	2020-01-16 12:41:34.257274	20	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	392.97590000001	883.3333351	n/a	n/a	2020-01-16 12:41:35.159277	2020-01-16 12:41:35.760796	21	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	445.179600000074	600.0000012	n/a	n/a	2020-01-16 12:41:36.379212	2020-01-16 12:41:37.033055	22	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	420.426799999973	1416.6666695	n/a	n/a	2020-01-16 12:41:38.468318	2020-01-16 12:41:39.096311	23	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	698.23150000002	1100.0000022	n/a	n/a	2020-01-16 12:41:40.214425	2020-01-16 12:41:41.120714	24	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	861.891200000059	1366.6666694	n/a	n/a	2020-01-16 12:41:42.506963	2020-01-16 12:41:43.577153	25	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	547.435699999937	850.0000017	n/a	n/a	2020-01-16 12:41:44.444599	2020-01-16 12:41:45.202088	26	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	425.490400000058	1216.6666691	n/a	n/a	2020-01-16 12:41:46.439303	2020-01-16 12:41:47.073073	27	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	541.387900000018	1216.6666691	n/a	n/a	2020-01-16 12:41:48.307579	2020-01-16 12:41:49.057740	28	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	387.755100000049	800.0000016	n/a	n/a	2020-01-16 12:41:49.876737	2020-01-16 12:41:50.472829	29	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	599.185799999987	1133.3333356	n/a	n/a	2020-01-16 12:41:51.625995	2020-01-16 12:41:52.433983	30	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	431.325799999968	533.3333344	n/a	n/a	2020-01-16 12:41:52.985100	2020-01-16 12:41:53.624944	31	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	466.251299999954	1433.3333362	n/a	n/a	2020-01-16 12:41:55.078397	2020-01-16 12:41:55.753241	32	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	334.543499999995	550.0000011	n/a	n/a	2020-01-16 12:41:56.322756	2020-01-16 12:41:56.864393	33	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	336.805799999979	1133.3333356	n/a	n/a	2020-01-16 12:41:58.015349	2020-01-16 12:41:58.561741	34	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	464.464899999939	1300.0000026	n/a	n/a	2020-01-16 12:41:59.880521	2020-01-16 12:42:00.553442	35	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	353.858599999967	1250.0000025	n/a	n/a	2020-01-16 12:42:01.823045	2020-01-16 12:42:02.385144	36	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	318.637299999978	733.3333348	n/a	n/a	2020-01-16 12:42:03.137705	2020-01-16 12:42:03.664352	37	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	568.256599999927	516.6666677	n/a	n/a	2020-01-16 12:42:04.199891	2020-01-16 12:42:04.976829	38	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	479.604400000085	733.3333348	n/a	n/a	2020-01-16 12:42:05.729612	2020-01-16 12:42:06.416452	39	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	475.153800000044	1433.3333362	n/a	n/a	2020-01-16 12:42:07.869421	2020-01-16 12:42:08.551597	40	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	508.598000000006	1266.6666692	n/a	n/a	2020-01-16 12:42:09.835888	2020-01-16 12:42:10.553163	41	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	604.478200000017	800.0000016	n/a	n/a	2020-01-16 12:42:11.372057	2020-01-16 12:42:12.185063	42	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	419.040999999993	833.333335	n/a	n/a	2020-01-16 12:42:13.037095	2020-01-16 12:42:13.664446	43	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	440.182700000037	733.3333348	n/a	n/a	2020-01-16 12:42:14.416479	2020-01-16 12:42:15.064352	44	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	399.087200000054	1350.0000027	n/a	n/a	2020-01-16 12:42:16.433122	2020-01-16 12:42:17.041111	45	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	536.967499999946	683.3333347	n/a	n/a	2020-01-16 12:42:17.743865	2020-01-16 12:42:18.489119	46	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	423.403499999949	1316.6666693	n/a	n/a	2020-01-16 12:42:19.825520	2020-01-16 12:42:20.457074	47	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	538.591300000007	1283.3333359	n/a	n/a	2020-01-16 12:42:21.757475	2020-01-16 12:42:22.505380	48	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	379.476899999986	1033.3333354	n/a	n/a	2020-01-16 12:42:23.557751	2020-01-16 12:42:24.145175	49	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	458.776300000068	1033.3333354	n/a	n/a	2020-01-16 12:42:25.198197	2020-01-16 12:42:25.865125	50	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	LEFT	LEFT	604.920800000059	566.6666678	n/a	n/a	2020-01-16 12:42:26.451790	2020-01-16 12:42:27.263679	51	5.7528385	True	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	448.294300000043	933.3333352	n/a	n/a	2020-01-16 12:42:28.216104	2020-01-16 12:42:28.871504	52	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	405.856599999993	1000.000002	n/a	n/a	2020-01-16 12:42:29.890471	2020-01-16 12:42:30.504784	53	5.7528385	False	n/a	n/a	n/a	n/a
S200116	Conflict_Resolution	RIGHT	RIGHT	517.478399999959	1366.6666694	n/a	n/a	2020-01-16 12:42:31.891351	2020-01-16 12:42:32.616579	54	5.7528385	True	n/a	n/a	n/a	n/a
