"Participant"	"Task"	"Stimulus_Side"	"Response"	"RT"	"ITI"	"Previous_Response"	"Previous_RT"	"Stop_Signal"	"Stop_Signal_RT"	"Conflict"	"Cue_Response"	"Cue_Response_RT"	"Trial_Onset"	"Trial_End"	"Trial_Order"	"Duration"
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	743.372099999988	1116.6666689	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:37:30.557770"	"2020-03-10 13:37:31.508764"	1	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	814.479799999958	550.0000011	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:32.078728"	"2020-03-10 13:37:33.100122"	2	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	755.222000000003	1050.0000021	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:34.169950"	"2020-03-10 13:37:35.133585"	3	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	544.684099999927	900.0000018	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:36.052713"	"2020-03-10 13:37:36.805443"	4	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	618.655499999932	683.3333347	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:37.506559"	"2020-03-10 13:37:38.333548"	5	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	398.231099999975	1150.0000023	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:37:39.503201"	"2020-03-10 13:37:40.108756"	6	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	601.24159999998	700.0000014	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:40.827743"	"2020-03-10 13:37:41.637665"	7	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	645.35699999999	766.6666682	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:42.423534"	"2020-03-10 13:37:43.277706"	8	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	444.207800000072	1183.3333357	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:37:44.480727"	"2020-03-10 13:37:45.133539"	9	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	388.43230000009	783.3333349	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:37:45.936057"	"2020-03-10 13:37:46.534255"	10	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	556.300100000044	1383.3333361	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:47.936529"	"2020-03-10 13:37:48.701402"	11	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	558.99850000003	533.3333344	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:49.253568"	"2020-03-10 13:37:50.021600"	12	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	619.093700000008	816.6666683	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:37:50.857514"	"2020-03-10 13:37:51.684768"	13	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	428.380500000003	783.3333349	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:37:52.488574"	"2020-03-10 13:37:53.124396"	14	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	505.439999999908	1133.3333356	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:37:54.275711"	"2020-03-10 13:37:54.987879"	15	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	534.352600000034	1216.6666691	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:56.222223"	"2020-03-10 13:37:56.966308"	16	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	509.681900000032	1333.333336	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:37:58.319553"	"2020-03-10 13:37:59.037477"	17	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	665.149499999984	883.3333351	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:37:59.940442"	"2020-03-10 13:38:00.812853"	18	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	676.517100000069	1000.000002	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:38:01.831922"	"2020-03-10 13:38:02.717469"	19	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	642.859000000044	1233.3333358	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:38:03.969703"	"2020-03-10 13:38:04.821665"	20	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	630.52909999999	933.3333352	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:05.774718"	"2020-03-10 13:38:06.612674"	21	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	570.523600000001	1466.6666696	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:08.098388"	"2020-03-10 13:38:08.877511"	22	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	388.01669999998	800.0000016	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:09.697178"	"2020-03-10 13:38:10.294027"	23	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	568.658400000004	1466.6666696	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:38:11.780287"	"2020-03-10 13:38:12.557340"	24	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	777.419399999985	633.3333346	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:13.211585"	"2020-03-10 13:38:14.196098"	25	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	481.761799999958	1033.3333354	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:15.251516"	"2020-03-10 13:38:15.940512"	26	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	601.921199999992	1483.3333363	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:38:17.442723"	"2020-03-10 13:38:18.253661"	27	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	546.609200000034	1416.6666695	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:19.690077"	"2020-03-10 13:38:20.445506"	28	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	499.651999999969	850.0000017	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:38:21.313285"	"2020-03-10 13:38:22.021350"	29	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	578.554600000075	1433.3333362	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:38:23.474702"	"2020-03-10 13:38:24.260959"	30	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	548.258300000043	1183.3333357	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:38:25.464987"	"2020-03-10 13:38:26.220172"	31	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	727.417099999911	1150.0000023	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:27.389939"	"2020-03-10 13:38:28.325676"	32	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	779.767600000014	783.3333349	""	n/a	n/a	n/a	"True"	n/a	n/a	"2020-03-10 13:38:29.129586"	"2020-03-10 13:38:30.117305"	33	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	878.914000000009	533.3333344	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:30.669797"	"2020-03-10 13:38:31.756121"	34	6.74722745
"S200310"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	382.676899999979	1383.3333361	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:33.158489"	"2020-03-10 13:38:33.748919"	35	6.74722745
"S200310"	"Conflict_Resolution"	"LEFT"	"LEFT"	528.727600000025	733.3333348	""	n/a	n/a	n/a	"False"	n/a	n/a	"2020-03-10 13:38:34.500038"	"2020-03-10 13:38:35.236013"	36	6.74722745
