index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
23	Self	S200228	0.6666666666666666	1	2	2	1	0.3	1216.6666691	1500.000003	1783.3333369	1650.0000033	Major	Good_deeds	47	You have engaged in underage smoking	C1_58	0.95	Hard	I2_39	16	Fishes can swim in water	0.944444444444444	Yes	LEFT	1393.9595000000509	RIGHT	776.2529000000313	RIGHT	1945.2280000000428	LEFT	1360.2443000000903	9.7	0.3	Probable_Lie	RIGHT	RIGHT	1	928.9258000000018	0	2020-02-28 13:52:29.493506
3	Self	S200228	0.5	1	2	1	2	0.4	1283.3333359	1216.6666691	2500.000005	2216.6666711000003	Minor	Wrong_doings	20	You have coveted things that belong to others	C2_20	0.85	Hard	I2_23	10	Some owl species hunt fish	1.0	No	RIGHT	686.1959000000297	RIGHT	600.1674000000321	RIGHT	1383.2093999999415	LEFT	2072.509400000058	10.1	0.4	Probable_Truth	LEFT	RIGHT	5	1284.7064999999702	1	2020-02-28 13:52:55.309722
2	Self	S200228	0.5	1	2	1	2	0.5	1500.000003	1066.6666688	2066.6666708	2066.6666708	Major	Good_deeds	14	You have adopted a zero-waste lifestyle	C2_14	0.0	Easy	I1_21	23	Last day of the year is 30th December	0.0	Yes	LEFT	630.3561999999374	RIGHT	623.9070000000311	LEFT	2486.7989999999054	RIGHT	2607.158199999958	9.6	0.5	Probable_Lie	RIGHT	RIGHT	1	1703.346300000021	2	2020-02-28 13:53:22.637640
106	Computer	S200228	0.5	2	1	1	2	0.2	1000.000002	1350.0000027	2066.6666708	1500.000003	Minor	Wrong_doings	2	You have blackmailed others for money	C2_39	0.8	Easy	I2_36	40	Nanyang Technological University is in Australia	0.0	No	RIGHT	576.1019999999917	LEFT	855.3294999999252	LEFT	1383.6931000000732	LEFT	1647.0900000000483	9.6	0.2	Probable_Truth	LEFT	LEFT	1	936.1123660781128	3	2020-02-28 13:53:46.517538
7	Self	S200228	0.5	1	2	2	1	0.6	1216.6666691	1350.0000027	1500.000003	1650.0000033	Major	Wrong_doings	52	You have given way to the handicapped	C1_6	0.7	Easy	I1_10	34	There are 7 days in a week	0.0	Yes	RIGHT	660.9159999999292	RIGHT	496.9996999999466	RIGHT	1254.5931999999311	RIGHT	1328.074399999991	10.2	0.6	Probable_Truth	RIGHT	RIGHT	6	1386.1854000000449	4	2020-02-28 13:54:09.933218
73	Self	S200228	0.6666666666666666	2	1	1	2	0.4	1433.3333362	1216.6666691	2350.0000047	2066.6666708	Minor	Good_deeds	54	You have given directions to a lost tourist	C2_43	1.0	Hard	I2_11	14	"Statue of Liberty is 151 feet tall"	0.0555555555555556	No	RIGHT	416.7796000000408	RIGHT	659.8746000000801	RIGHT	1511.884200000054	RIGHT	1127.7482000000418	10.6	0.4	Probable_Truth	LEFT	LEFT	1	1640.16950000007	5	2020-02-28 13:54:34.925366
37	Self	S200228	0.8333333333333334	1	2	2	1	0.2	1066.6666688	1500.000003	2350.0000047	1650.0000033	Minor	Wrong_doings	34	You have taken part in burglary	C1_35	0.0	Easy	I1_26	19	Cheese is an Asian staple	0.944444444444444	Yes	RIGHT	626.6573999999991	RIGHT	400.446400000078	LEFT	2296.1245999999846	LEFT	1119.875699999966	10.8	0.2	Probable_Truth	LEFT	LEFT	1	1835.710699999936	6	2020-02-28 13:55:00.341312
47	Self	S200228	0.8333333333333334	2	1	2	1	0.8	1433.3333362	1000.000002	2500.000005	1650.0000033	Minor	Good_deeds	30	You have bribed a police officer	C1_27	0.0	Easy	I2_27	21	The current century is 21st	0.944444444444444	No	LEFT	520.9654000000228	RIGHT	867.7973999999722	RIGHT	1657.030299999974	LEFT	1343.915799999991	9.999999999999998	0.8	Probable_Lie	RIGHT	RIGHT	1	1478.3062999999856	7	2020-02-28 13:55:25.365278
137	Computer	S200228	0.8333333333333334	2	1	1	2	0.6	1500.000003	1500.000003	2350.0000047	2066.6666708	Minor	Wrong_doings	59	You have taken responsibility for your actions	C1_48	0.0	Hard	I1_35	54	A caterpillar has more muscle than a human	0.0	Yes	RIGHT	527.9021999999713	LEFT	1851.2799999999745	LEFT	1839.8422999999864	RIGHT	1135.8478999999306	9.999999999999998	0.6	Probable_Truth	RIGHT	RIGHT	4	533.8009879725533	8	2020-02-28 13:55:51.237719
31	Self	S200228	0.6666666666666666	2	1	2	1	0.3	1433.3333362	1433.3333362	2066.6666708	1783.3333369	Major	Wrong_doings	57	You have made counterfeit money	C2_13	0.2	Hard	I2_50	36	Teddy Roosevelt was the youngest US President	0.0	No	LEFT	568.6206000000311	RIGHT	965.182200000072	RIGHT	2498.6459000000423	LEFT	1127.3886999999831	9.699999999999998	0.3	Probable_Lie	LEFT	LEFT	5	2117.644999999925	9	2020-02-28 13:56:17.805637
