index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
46	Self	S210316	0.8333333333333334	2	1	2	1	0.7	1433.3333362	1150.0000023	2216.6666711000003	1650.0000033	Minor	Good_deeds	3	You have started a hotline for victims of bully	C1_3	0.0	Easy	I2_13	49	It is 20th Century now	0.0	Yes	RIGHT	1174.724900000001	LEFT	752.5362999999743	RIGHT	1191.632299999981	RIGHT	1887.5417000000425	9.3	0.7	Probable_Lie	RIGHT	RIGHT	1	692.092300000013	0	2021-03-16 14:47:08.809019
7	Self	S210316	0.5	1	2	2	1	0.6	1216.6666691	1283.3333359	1650.0000033	1933.3333372	Minor	Wrong_doings	39	You have helped a friend in need	C2_53	0.45	Easy	I2_23	37	Obama is the USA president now	0.0	No	RIGHT	670.485699999972	RIGHT	605.1488000000518	LEFT	2517.3759000000477	RIGHT	1471.266700000001	9.9	0.6	Probable_Truth	LEFT	LEFT	3	1300.3946000000042	1	2021-03-16 14:47:34.032766
90	Self	S210316	0.8333333333333334	2	1	1	2	0.1	1150.0000023	1433.3333362	2500.000005	1783.3333369	Major	Wrong_doings	23	You have switched off appliances when not in use	C1_12	0.95	Easy	I1_43	50	It is snowing outside now	0.777777777777778	No	RIGHT	996.9193999999106	RIGHT	864.4147999999632	LEFT	1207.5409000000263	RIGHT	2042.695500000036	10.0	0.1	Probable_Truth	RIGHT	RIGHT	3	744.8460000000523	2	2021-03-16 14:47:59.330103
96	Computer	S210316	0.5	1	2	1	2	0.1	1216.6666691	1150.0000023	2500.000005	2500.000005	Minor	Wrong_doings	48	You have engaged in money laundering	C2_24	1.0	Easy	I1_31	48	It takes 112 years to build the Pisa Tower	0.944444444444444	Yes	LEFT	816.6480999999521	LEFT	1235.8094999999594	RIGHT	2286.892100000045	LEFT	1923.974700000031	10.0	0.1	Probable_Lie	LEFT	RIGHT	1	662.3354060319778	3	2021-03-16 14:48:26.202382
12	Self	S210316	0.5	2	1	2	1	0.3	1283.3333359	1216.6666691	2500.000005	2350.0000047	Minor	Good_deeds	17	You have sorted your trash into recycling bin	C1_17	0.85	Hard	I1_58	9	Mexico's National Day is September 16	0.833333333333333	Yes	LEFT	934.0912000000116	LEFT	2215.4127000000017	RIGHT	1779.0652999999566	RIGHT	1576.3215000000628	10.0	0.3	Probable_Lie	LEFT	LEFT	5	899.3689999999788	4	2021-03-16 14:48:53.528843
116	Computer	S210316	0.6666666666666666	1	2	2	1	0.5	1433.3333362	1066.6666688	2500.000005	1500.000003	Minor	Good_deeds	58	You have taken responsibility for your actions	C2_3	1.0	Easy	I2_40	26	The hardest bone in human body is the jawbone	0.666666666666667	No	LEFT	392.5878000000012	LEFT	1477.861800000028	RIGHT	3933.943699999986	RIGHT	1376.0480999999345	10.0	0.5	Probable_Lie	RIGHT	RIGHT	1	955.2856587771428	5	2021-03-16 14:49:20.729499
55	Self	S210316	0.5	1	2	2	1	0.2	1283.3333359	1216.6666691	1783.3333369	1933.3333372	Minor	Good_deeds	31	You have illegally stayed in a country	C1_40	0.05	Hard	I2_55	12	A square has 3 corners	0.944444444444444	No	RIGHT	704.1622000000416	LEFT	1889.6032000000105	LEFT	2003.2165999999731	LEFT	2368.227499999989	9.8	0.2	Probable_Lie	LEFT	RIGHT	1	733.0735000000459	6	2021-03-16 14:49:47.218573
14	Self	S210316	0.5	2	1	2	1	0.2	1500.000003	1000.000002	1500.000003	2066.6666708	Major	Good_deeds	44	You have confessed to your mistake	C2_17	0.0	Hard	I1_54	30	Lehman Brothers went bankrupt on 20th September	1.0	No	RIGHT	925.5695999999034	RIGHT	480.3509000000759	RIGHT	2757.983500000023	RIGHT	1287.7842000000328	10.0	0.2	Probable_Truth	RIGHT	LEFT	3	1390.6031999999868	7	2021-03-16 14:50:12.696666
34	Self	S210316	0.8333333333333334	1	2	1	2	0.4	1066.6666688	1150.0000023	2350.0000047	2350.0000047	Minor	Good_deeds	25	You have lost everything just to help others	C1_48	0.0	Hard	I1_42	46	Milwaukee Art Museum is located in California	0.833333333333333	No	RIGHT	495.1991000000362	RIGHT	731.8366000000651	RIGHT	2039.8014999999527	LEFT	2443.4741999999687	10.4	0.4	Probable_Truth	LEFT	LEFT	1	943.9518000000362	8	2021-03-16 14:50:38.841502
64	Self	S210316	0.6666666666666666	1	2	1	2	0.6	1000.000002	1066.6666688	1933.3333372	2350.0000047	Major	Wrong_doings	37	You have followed instructions	C1_27	0.1	Easy	I2_33	6	December is the last month of the year	0.0	Yes	RIGHT	689.0737000001081	RIGHT	524.5801999999458	RIGHT	1271.3375999999244	RIGHT	1867.145300000061	11.0	0.6	Probable_Truth	RIGHT	RIGHT	4	510.1077000000487	9	2021-03-16 14:51:02.625318
