index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
122	Computer	S210224	0.6666666666666666	2	1	1	2	0.1	1150.0000023	1500.000003	2216.6666711000003	1650.0000033	Minor	Good_deeds	14	You have attended all lectures as a student	C2_28	0.0	Easy	I1_28	60	A dog has four legs	0.0	Yes	LEFT	686.034100000029	LEFT	927.2430000000328	RIGHT	1495.8735999999817	RIGHT	998.1730000000084	10.0	0.1	Probable_Lie	RIGHT	RIGHT	1	711.9962829472958	0	2021-02-24 14:28:51.518471
64	Self	S210224	0.6666666666666666	1	2	1	2	0.4	1500.000003	1066.6666688	1933.3333372	1650.0000033	Major	Wrong_doings	23	You have watched an M18 movie when you were underage	C1_47	0.05	Easy	I1_26	13	Fishes can swim in water	0.777777777777778	No	RIGHT	622.9109000000221	RIGHT	548.9903999999797	LEFT	1631.6597999999658	RIGHT	1032.0125999999732	10.4	0.4	Probable_Truth	RIGHT	RIGHT	6	590.3511999999864	1	2021-02-24 14:29:14.672979
82	Self	S210224	0.8333333333333334	1	2	1	2	0.7	1066.6666688	1000.000002	2500.000005	2350.0000047	Minor	Good_deeds	35	You have lied to your parents	C2_11	1.0	Hard	I2_45	53	Statute of Liberty is in New York	0.0	No	RIGHT	457.0247999999992	RIGHT	477.642000000003	LEFT	1035.356399999955	RIGHT	1207.8865999999948	11.1	0.7	Probable_Truth	RIGHT	RIGHT	2	932.8899000000206	2	2021-02-24 14:29:38.286758
95	Self	S210224	0.8333333333333334	2	1	2	1	0.8	1000.000002	1216.6666691	1500.000003	2350.0000047	Minor	Wrong_doings	9	You have sold illegal drugs	C1_9	0.95	Hard	I1_52	14	Obama is the USA president now	0.888888888888889	Yes	RIGHT	668.161600000019	RIGHT	518.7477000000058	LEFT	903.9763000000108	LEFT	1436.055900000042	11.9	0.8	Probable_Truth	RIGHT	RIGHT	4	724.7057000000154	3	2021-02-24 14:30:01.184718
66	Self	S210224	0.6666666666666666	1	2	1	2	0.7	1433.3333362	1433.3333362	1500.000003	2350.0000047	Major	Good_deeds	42	You have helped others to pick up their belongings	C2_23	0.0	Hard	I1_41	60	Marijuana is legal in Singapore	0.0	Yes	RIGHT	463.67570000001024	RIGHT	564.4092	RIGHT	1298.612300000002	LEFT	1063.7968000000342	12.6	0.7	Probable_Truth	RIGHT	RIGHT	3	833.8052999999945	4	2021-02-24 14:30:24.704139
79	Self	S210224	0.6666666666666666	2	1	2	1	0.6	1066.6666688	1500.000003	2216.6666711000003	1933.3333372	Major	Wrong_doings	31	You have volunteered every week for many years	C1_19	0.1	Hard	I2_39	31	South East Asia is currently free from polio	0.0	Yes	LEFT	752.69899999995	LEFT	768.9204000000132	RIGHT	1247.1977000000152	RIGHT	3056.128400000034	12.6	0.6	Probable_Lie	RIGHT	RIGHT	2	761.5906999999993	5	2021-02-24 14:30:50.582518
81	Self	S210224	0.8333333333333334	1	2	1	2	0.6	1350.0000027	1283.3333359	2216.6666711000003	1650.0000033	Minor	Wrong_doings	40	You have taken part in violent demonstration	C2_1	0.0	Easy	I1_24	58	Septicemia is a lung infection condition	0.944444444444444	Yes	RIGHT	592.4939000000222	RIGHT	655.6924999999865	LEFT	1416.5956000000506	LEFT	1519.548400000076	13.2	0.6	Probable_Lie	LEFT	LEFT	5	950.9080999999924	6	2021-02-24 14:31:14.791941
5	Self	S210224	0.5	1	2	2	1	0.6	1500.000003	1500.000003	1500.000003	1650.0000033	Major	Wrong_doings	6	You have sheltered others from disasters	C2_48	0.15	Hard	I1_17	54	Singapore is a poor country	0.0555555555555556	Yes	RIGHT	608.4492000001092	LEFT	1134.1125000000147	RIGHT	1197.7679999999964	LEFT	1175.505199999975	12.6	0.6	Probable_Lie	LEFT	LEFT	5	1039.2868000000135	7	2021-02-24 14:31:38.670603
106	Computer	S210224	0.5	2	1	1	2	0.3	1150.0000023	1066.6666688	1933.3333372	2350.0000047	Major	Wrong_doings	60	You have queued to enter the MRT train	C2_30	1.0	Hard	I1_40	40	Summer is hotter than winter	0.888888888888889	Yes	LEFT	945.797999999968	LEFT	1152.3833000001105	RIGHT	1363.0957999999964	RIGHT	1640.7593000000134	12.6	0.3	Probable_Lie	RIGHT	LEFT	5	785.6385330190017	8	2021-02-24 14:32:03.624156
9	Self	S210224	0.5	2	1	1	2	0.4	1283.3333359	1066.6666688	1933.3333372	1500.000003	Major	Good_deeds	3	You have returned your trays in food courts	C2_60	0.05	Easy	I1_15	1	Animals are living things	0.0	Yes	RIGHT	707.3920000000271	RIGHT	384.00979999994433	RIGHT	1333.1801000000496	RIGHT	815.6893999999966	13.0	0.4	Probable_Truth	RIGHT	RIGHT	6	944.6281000000454	9	2021-02-24 14:32:26.166794
