index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
131	Computer	S201120	0.8333333333333334	1	2	1	2	0.3	1500.000003	1000.000002	1500.000003	2216.6666711000003	Major	Good_deeds	27	You have taken months off to volunteer	C2_27	0.95	Hard	I2_16	24	Earth's atmosphere extends up to 10,000km into space	0.0555555555555556	Yes	LEFT	807.6733999999988	LEFT	705.7950999999321	RIGHT	1353.3464000000777	RIGHT	1111.652900000081	10.0	0.3	Probable_Lie	LEFT	RIGHT	1	807.0421023693646	0	2020-11-20 14:10:55.662300
133	Computer	S201120	0.8333333333333334	1	2	2	1	0.4	1433.3333362	1150.0000023	2216.6666711000003	1783.3333369	Major	Wrong_doings	56	You have switched off appliances when not in use	C1_29	0.8	Easy	I1_47	22	Fishes can swim in water	0.0555555555555556	Yes	RIGHT	886.0012999999753	LEFT	656.3955000000306	RIGHT	1344.6615000000293	RIGHT	996.8718999999736	10.0	0.4	Probable_Truth	RIGHT	RIGHT	3	959.3545389848952	1	2020-11-20 14:11:19.662381
97	Computer	S201120	0.5	1	2	1	2	0.1	1500.000003	1066.6666688	1650.0000033	2066.6666708	Minor	Wrong_doings	42	You have been restricting your electricity consumption	C2_42	1.0	Easy	I2_50	52	Summer is hotter than winter	0.0555555555555556	Yes	LEFT	556.544600000052	LEFT	519.6634999999787	RIGHT	1348.1647000000976	RIGHT	1454.644099999996	10.0	0.1	Probable_Lie	LEFT	LEFT	6	569.9217975691621	2	2020-11-20 14:11:42.966614
64	Self	S201120	0.6666666666666666	1	2	1	2	0.1	1216.6666691	1216.6666691	2066.6666708	2350.0000047	Minor	Good_deeds	16	You have helped with household chores	C2_52	0.0	Easy	I1_2	38	Chickens lay eggs	0.833333333333333	No	LEFT	829.8816999999872	RIGHT	518.581499999982	RIGHT	992.342800000074	RIGHT	897.1255999999812	9.9	0.1	Probable_Lie	LEFT	LEFT	6	911.9213000000173	3	2020-11-20 14:12:06.542156
140	Computer	S201120	0.8333333333333334	2	1	2	1	0.6	1350.0000027	1283.3333359	1500.000003	1500.000003	Major	Good_deeds	1	You have donated blood every 6 months for many years	C1_22	0.1	Hard	I2_46	54	A triangle has three sides	0.0555555555555556	Yes	RIGHT	479.7185999999556	LEFT	1233.6887999999817	RIGHT	1223.259999999982	RIGHT	998.3581000000186	9.9	0.6	Probable_Truth	LEFT	LEFT	1	562.0880917701626	4	2020-11-20 14:12:29.247114
122	Computer	S201120	0.6666666666666666	2	1	1	2	0.4	1350.0000027	1433.3333362	2066.6666708	2216.6666711000003	Minor	Good_deeds	15	You have provided shelter for stray animals	C2_8	0.0	Hard	I1_9	25	The human's inner ear is larger than a pencil eraser	0.0	No	RIGHT	423.8565999999082	LEFT	855.5566999999655	RIGHT	1025.1488000000109	RIGHT	2047.6872000000408	9.9	0.4	Probable_Truth	RIGHT	RIGHT	5	856.1288731357392	5	2020-11-20 14:12:54.085723
45	Self	S201120	0.8333333333333334	2	1	2	1	0.4	1000.000002	1283.3333359	1933.3333372	2500.000005	Major	Wrong_doings	50	You have helped your parents when asked to	C2_34	0.65	Easy	I2_55	29	The first Grammy awards was held in 1959	0.888888888888889	Yes	RIGHT	631.8681000000197	RIGHT	595.6817999999657	RIGHT	976.7858999999816	RIGHT	1020.0065000000222	10.3	0.4	Probable_Truth	LEFT	LEFT	1	670.9610999999995	6	2020-11-20 14:13:17.270306
17	Self	S201120	0.6666666666666666	1	2	1	2	0.5	1216.6666691	1000.000002	1500.000003	2500.000005	Minor	Wrong_doings	50	You have helped others to pick up their belongings	C1_9	0.0	Hard	I2_24	54	North Korea is more developed than South Korea	0.944444444444444	Yes	RIGHT	717.6593000000366	RIGHT	560.9223999999813	RIGHT	1036.737700000003	LEFT	1510.6251999999358	10.8	0.5	Probable_Truth	LEFT	LEFT	1	768.9143000000058	7	2020-11-20 14:13:40.654574
22	Self	S201120	0.6666666666666666	1	2	2	1	0.6	1350.0000027	1283.3333359	2350.0000047	2350.0000047	Major	Good_deeds	43	You have failed to keep promises	C2_28	0.85	Hard	I1_57	59	Bears have the biggest eyes among mammals	0.0555555555555556	No	RIGHT	587.0948000000453	RIGHT	856.0308999999506	LEFT	1391.4857999999413	RIGHT	1265.737999999942	11.4	0.6	Probable_Truth	RIGHT	RIGHT	3	864.0843000000586	8	2020-11-20 14:14:05.526920
42	Self	S201120	0.8333333333333334	2	1	1	2	0.2	1350.0000027	1000.000002	2216.6666711000003	1500.000003	Minor	Good_deeds	36	You have stopped using products tested on animals	C1_37	0.1	Hard	I1_21	21	Christmas Day is in March	0.944444444444444	Yes	RIGHT	655.8566999999584	RIGHT	599.7164000000339	RIGHT	1669.374199999993	LEFT	1223.4998999999789	11.6	0.2	Probable_Truth	LEFT	LEFT	1	748.9078000000973	9	2020-11-20 14:14:29.061777
127	Computer	S201120	0.6666666666666666	2	1	2	1	0.8	1216.6666691	1066.6666688	1500.000003	2350.0000047	Major	Good_deeds	42	You have kept your promises	C1_33	1.0	Hard	I2_25	27	A caterpillar has more muscle than a human	0.666666666666667	No	RIGHT	744.6055999999999	LEFT	691.4719000000105	RIGHT	832.1776999999884	RIGHT	1963.761700000077	11.6	0.8	Probable_Truth	LEFT	LEFT	2	713.9079542118212	10	2020-11-20 14:14:52.710941
134	Computer	S201120	0.8333333333333334	1	2	2	1	0.5	1150.0000023	1500.000003	2066.6666708	2350.0000047	Minor	Wrong_doings	35	You have made someone cry	C1_45	0.0	Easy	I2_22	37	Milwaukee Art Museum is located in California	0.0	No	RIGHT	798.80890000004	LEFT	672.2284999999601	LEFT	1143.4628000000655	RIGHT	1440.253900000016	11.6	0.5	Probable_Truth	LEFT	LEFT	1	519.7898415002928	11	2020-11-20 14:15:16.925946
14	Self	S201120	0.5	2	1	2	1	0.3	1500.000003	1500.000003	1933.3333372	2500.000005	Minor	Good_deeds	57	You have borrowed things and never returned	C1_19	0.7	Hard	I2_12	18	Fibers in oranges can be used to make fabric	0.0	Yes	RIGHT	536.021699999992	RIGHT	674.7362999999496	LEFT	1416.6004999999586	RIGHT	1406.6561000000777	11.9	0.3	Probable_Truth	LEFT	RIGHT	5	2103.790199999935	12	2020-11-20 14:15:43.071034
60	Self	S201120	0.5	2	1	2	1	0.6	1500.000003	1283.3333359	1500.000003	2216.6666711000003	Major	Good_deeds	43	You have eaten something in the MRT train	C2_25	0.95	Hard	I2_53	26	Marijuana is legal in Singapore	0.0	Yes	RIGHT	688.9636000000792	RIGHT	507.9494999999952	LEFT	1567.5531000000549	LEFT	2393.1162000000086	12.5	0.6	Probable_Truth	LEFT	RIGHT	6	1609.7111000000268	13	2020-11-20 14:16:08.910518
4	Self	S201120	0.5	1	2	2	1	0.7	1350.0000027	1283.3333359	1650.0000033	2350.0000047	Minor	Wrong_doings	59	You have illegally stayed in a country	C1_60	0.45	Easy	I1_45	25	It sometimes snows in Singapore	0.0555555555555556	No	RIGHT	583.1914999999981	RIGHT	631.0401000000638	LEFT	1247.2556999999824	LEFT	1299.881400000004	13.2	0.7	Probable_Truth	LEFT	RIGHT	5	2079.3080000000828	14	2020-11-20 14:16:33.958948
85	Self	S201120	0.8333333333333334	1	2	2	1	0.4	1066.6666688	1066.6666688	1783.3333369	2350.0000047	Major	Good_deeds	49	You have extorted money from anyone	C1_40	0.05	Easy	I1_36	36	Nomophobia is the fear of being without a phone or computer	0.888888888888889	Yes	RIGHT	688.9166999999361	RIGHT	528.8736999999628	LEFT	1184.670600000004	RIGHT	2501.4363999999887	13.6	0.4	Probable_Truth	RIGHT	RIGHT	3	776.6106000000264	15	2020-11-20 14:16:58.478263
90	Self	S201120	0.8333333333333334	2	1	1	2	0.8	1216.6666691	1283.3333359	1650.0000033	2216.6666711000003	Minor	Wrong_doings	19	You have lost everything just to help others	C2_2	0.0	Hard	I2_43	32	Today is a weekday	0.888888888888889	No	RIGHT	1409.1164000000165	RIGHT	680.814899999973	LEFT	2657.615599999985	RIGHT	1304.1620000000194	14.4	0.8	Probable_Truth	LEFT	LEFT	1	804.4315000000779	16	2020-11-20 14:17:24.270678
115	Computer	S201120	0.6666666666666666	1	2	1	2	0.2	1216.6666691	1000.000002	2350.0000047	2350.0000047	Minor	Wrong_doings	7	You have stolen something	C1_7	1.0	Easy	I2_40	28	Vegetarians can eat vegetable products	0.944444444444444	Yes	LEFT	636.6592000000537	LEFT	567.6181999999699	LEFT	816.9768000000204	RIGHT	2448.4948000000486	14.4	0.2	Probable_Truth	LEFT	RIGHT	3	764.2519478042689	17	2020-11-20 14:17:48.997622
29	Self	S201120	0.6666666666666666	2	1	2	1	0.2	1000.000002	1500.000003	1650.0000033	2350.0000047	Minor	Wrong_doings	20	You have watched a pirated movie	C2_20	0.2	Easy	I2_33	3	Singapore is a country	0.0	Yes	LEFT	552.4523999999928	RIGHT	823.1445999999778	LEFT	1463.4376000000202	RIGHT	1147.2422999999026	14.2	0.2	Probable_Lie	LEFT	LEFT	5	974.9782999999752	18	2020-11-20 14:18:13.030547
7	Self	S201120	0.5	1	2	2	1	0.6	1500.000003	1433.3333362	1933.3333372	2066.6666708	Major	Good_deeds	60	You have engaged in money laundering	C1_46	0.0	Hard	I2_2	45	Brazil is in South America	0.833333333333333	No	LEFT	1381.7814000000226	RIGHT	655.0536000000875	LEFT	1103.557099999989	RIGHT	1800.6909000000633	13.6	0.6	Probable_Lie	RIGHT	RIGHT	1	1193.791000000033	19	2020-11-20 14:18:38.670305
112	Computer	S201120	0.6666666666666666	1	2	1	2	0.8	1500.000003	1500.000003	2216.6666711000003	1650.0000033	Major	Wrong_doings	35	You have engaged in underage smoking	C2_50	1.0	Easy	I2_59	40	Septicemia is a lung infection condition	0.0	No	RIGHT	606.5710999999965	LEFT	600.3160000000207	LEFT	1167.6724999999806	RIGHT	1815.8447999999223	13.6	0.8	Probable_Truth	RIGHT	RIGHT	5	554.8269863068654	20	2020-11-20 14:19:02.846232
36	Self	S201120	0.8333333333333334	1	2	2	1	0.1	1150.0000023	1066.6666688	2500.000005	1500.000003	Minor	Good_deeds	29	You have volunteered every week for many years	C1_17	0.0	Hard	I1_37	4	The Earth turns the closest to the sun in May	0.666666666666667	No	RIGHT	565.9110999999939	RIGHT	480.2239999999074	RIGHT	1206.479100000024	RIGHT	2207.505000000083	13.7	0.1	Probable_Lie	LEFT	LEFT	2	620.5706999999165	21	2020-11-20 14:19:26.718367
99	Computer	S201120	0.5	1	2	1	2	0.2	1150.0000023	1433.3333362	1783.3333369	1783.3333369	Minor	Wrong_doings	20	You have given way to the handicapped	C2_18	0.5	Hard	I2_21	21	Afghan Hound is the first cloned cat	0.944444444444444	Yes	RIGHT	543.830799999796	LEFT	407.2813000000224	RIGHT	1138.4619000000384	RIGHT	1647.1690999999282	13.7	0.2	Probable_Truth	RIGHT	LEFT	3	962.380183099513	22	2020-11-20 14:19:50.142769
83	Self	S201120	0.8333333333333334	1	2	1	2	0.1	1216.6666691	1433.3333362	1500.000003	2500.000005	Minor	Wrong_doings	58	You have stopped using plastics completely	C1_49	0.85	Hard	I2_39	23	China is a part of Asia	0.166666666666667	No	RIGHT	474.5666999999685	RIGHT	494.7773999999754	RIGHT	1780.3172999999788	RIGHT	1240.2693999999883	13.8	0.1	Probable_Truth	RIGHT	RIGHT	2	760.0598999999875	23	2020-11-20 14:20:14.118687
47	Self	S201120	0.8333333333333334	2	1	2	1	0.7	1500.000003	1500.000003	2066.6666708	1650.0000033	Minor	Wrong_doings	17	You have made counterfeit money	C2_36	0.55	Easy	I1_31	31	The Franco-Prussian War occurred in the 19th century	0.833333333333333	Yes	RIGHT	527.1284000000378	RIGHT	429.366200000004	LEFT	1151.3254999999845	RIGHT	1344.5140999999694	14.5	0.7	Probable_Truth	LEFT	LEFT	1	671.1877000000186	24	2020-11-20 14:20:37.533672
69	Self	S201120	0.6666666666666666	1	2	2	1	0.5	1500.000003	1000.000002	2350.0000047	2216.6666711000003	Minor	Wrong_doings	31	You have faked an illness	C1_4	0.0	Easy	I1_38	5	It is snowing outside now	0.0	No	LEFT	3219.668400000046	RIGHT	665.4129999999441	LEFT	1087.452699999858	LEFT	1001.1545000002116	14.0	0.5	Probable_Lie	RIGHT	RIGHT	2	817.409600000019	25	2020-11-20 14:21:03.966967
35	Self	S201120	0.8333333333333334	1	2	1	2	0.4	1433.3333362	1433.3333362	2350.0000047	1783.3333369	Major	Good_deeds	27	You have taken months off to volunteer	C2_27	0.95	Hard	I2_16	24	Earth's atmosphere extends up to 10,000km into space	0.0555555555555556	Yes	RIGHT	986.8702000001122	RIGHT	624.7192000000723	RIGHT	1563.1920999999238	RIGHT	1166.8225999999322	14.4	0.4	Probable_Truth	RIGHT	RIGHT	2	725.2117000000453	26	2020-11-20 14:21:28.607087
46	Self	S201120	0.8333333333333334	2	1	2	1	0.5	1216.6666691	1433.3333362	1650.0000033	2066.6666708	Minor	Wrong_doings	22	You have given up your seat in the MRT	C1_50	1.0	Easy	I2_49	49	Last day of the year is 30th December	0.0	No	RIGHT	511.9218999998338	RIGHT	512.1877999999924	RIGHT	1056.177899999966	LEFT	2431.608200000028	14.9	0.5	Probable_Truth	RIGHT	RIGHT	5	715.2194000000236	27	2020-11-20 14:21:52.774164
91	Self	S201120	0.8333333333333334	2	1	1	2	0.2	1350.0000027	1350.0000027	1500.000003	1933.3333372	Minor	Good_deeds	12	You have drunk alcohol when you were underage	C2_54	0.0	Easy	I2_36	10	R. Amundsen discovered the South Pole	0.611111111111111	Yes	LEFT	584.5498999999563	RIGHT	963.6778000001414	LEFT	1569.4530000000668	RIGHT	1710.5193999998392	14.7	0.2	Probable_Lie	RIGHT	RIGHT	1	613.1703000000925	28	2020-11-20 14:22:16.927018
55	Self	S201120	0.5	1	2	2	1	0.1	1150.0000023	1283.3333359	1650.0000033	1650.0000033	Minor	Wrong_doings	6	You have been donating all your excess food to a food bank	C1_23	0.0	Hard	I2_44	8	There are 10 continents in the World	0.764705882352941	Yes	RIGHT	709.0485000001081	RIGHT	903.525499999887	RIGHT	2342.5534999998945	LEFT	1221.6118999999708	14.8	0.1	Probable_Truth	RIGHT	RIGHT	4	1853.109899999936	29	2020-11-20 14:22:42.269734
120	Computer	S201120	0.6666666666666666	2	1	1	2	0.2	1500.000003	1350.0000027	2216.6666711000003	1650.0000033	Major	Wrong_doings	24	You have let a homeless man into your house	C1_24	0.85	Easy	I2_27	33	Singapore is in Africa	0.722222222222222	No	LEFT	648.9180000000943	LEFT	740.0024999999459	RIGHT	2116.652800000111	LEFT	1040.008299999954	14.8	0.2	Probable_Lie	LEFT	RIGHT	1	760.3431509869794	30	2020-11-20 14:23:06.869366
15	Self	S201120	0.5	2	1	2	1	0.2	1216.6666691	1216.6666691	2066.6666708	2216.6666711000003	Minor	Wrong_doings	30	You have kidnapped someone	C1_57	0.0	Hard	I2_18	14	It takes 112 years to build the Pisa Tower	0.611111111111111	Yes	RIGHT	576.7116000001806	RIGHT	886.0829999998714	LEFT	807.6293000001442	RIGHT	2177.9129000001376	15.0	0.2	Probable_Lie	RIGHT	LEFT	4	1319.7393000000377	31	2020-11-20 14:23:31.926322
13	Self	S201120	0.5	2	1	2	1	0.8	1350.0000027	1066.6666688	1783.3333369	1933.3333372	Major	Wrong_doings	47	You have confessed to your mistake	C2_47	0.25	Hard	I1_52	48	December is the last month of the year	1.0	No	RIGHT	2503.8465000000087	RIGHT	1881.552000000056	RIGHT	1279.7072999999273	RIGHT	1300.3267000001415	15.8	0.8	Probable_Lie	RIGHT	RIGHT	3	1357.7490000000123	32	2020-11-20 14:23:58.957836
102	Computer	S201120	0.5	1	2	2	1	0.4	1350.0000027	1150.0000023	2216.6666711000003	2350.0000047	Minor	Good_deeds	46	You have returned your trays in food courts	C1_20	1.0	Hard	I1_25	11	South East Asia is currently free from polio	0.777777777777778	Yes	RIGHT	714.3928999998934	LEFT	697.3141000000851	RIGHT	1391.160500000069	LEFT	3653.267400000004	15.8	0.4	Probable_Truth	LEFT	RIGHT	4	769.4053280075196	33	2020-11-20 14:24:25.813635
51	Self	S201120	0.5	1	2	1	2	0.4	1216.6666691	1433.3333362	2350.0000047	1500.000003	Major	Good_deeds	23	You have complimented others for good work	C2_38	0.65	Easy	I1_48	46	Saturn's rings are between 30 and 300 feet thick	0.833333333333333	Yes	RIGHT	561.9336999998268	RIGHT	751.7486000001554	RIGHT	1143.4019999999236	RIGHT	2095.384700000068	16.2	0.4	Probable_Truth	LEFT	RIGHT	4	1667.7164000000175	34	2020-11-20 14:24:51.109455
