index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
9	Self	S200221	0.5	2	1	1	2	0.8	1500.000003	1500.000003	1783.333337	2066.666671	Major	Wrong_doings	30	You have stopped using plastics completely	C1_49	0.5	Hard	I2_56	9	Milwaukee Art Museum is located in California	0.0	No	RIGHT	577.4435	RIGHT	455.018	LEFT	3286.0046	RIGHT	1239.7626	10.8	0.8	Probable_Truth	RIGHT	RIGHT	4	904.2285	0	37:01.8
118	Computer	S200221	0.666666667	1	2	2	1	0.8	1216.666669	1350.000003	1933.333337	1500.000003	Major	Wrong_doings	31	You have engaged in drink-driving	C2_10	0.95	Hard	I2_49	42	A caterpillar has more muscle than a human	0.888888889	No	LEFT	400.2874	LEFT	892.0675	LEFT	1039.2104	RIGHT	2806.8371	10.8	0.8	Probable_Lie	RIGHT	RIGHT	1	918.2102693	1	37:26.5
18	Self	S200221	0.666666667	1	2	1	2	0.7	1216.666669	1433.333336	1933.333337	1783.333337	Major	Wrong_doings	10	You have been sued	C1_5	0.8	Easy	I2_27	17	There is typically 0.6 grams of mercury in glass thermometer	0.055555556	No	RIGHT	799.7221	LEFT	786.8659	LEFT	1170.4961	RIGHT	2038.6125	10.1	0.7	Probable_Lie	LEFT	LEFT	6	759.4625	2	37:51.0
22	Self	S200221	0.666666667	1	2	2	1	0.8	1500.000003	1150.000002	2216.666671	2350.000005	Major	Wrong_doings	31	You have engaged in drink-driving	C2_10	0.95	Hard	I2_49	42	A caterpillar has more muscle than a human	0.888888889	No	RIGHT	472.5981	RIGHT	471.7843	LEFT	816.1201	RIGHT	1571.8289	10.9	0.8	Probable_Truth	LEFT	LEFT	1	703.3272	3	38:14.8
125	Computer	S200221	0.666666667	2	1	2	1	0.7	1500.000003	1000.000002	2066.666671	2216.666671	Major	Good_deeds	34	You have claimed doing things that you never did	C1_57	0.25	Hard	I2_51	43	Slavery was abolished in Cuba in 1886	0.0	No	LEFT	929.2473	RIGHT	1360.2246	LEFT	2958.6577	RIGHT	1687.8338	10.9	0.7	Probable_Truth	RIGHT	LEFT	2	512.4309677	4	38:41.6
77	Self	S200221	0.666666667	2	1	2	1	0.4	1283.333336	1500.000003	2500.000005	2350.000005	Minor	Wrong_doings	57	You have stolen something	C2_57	0.65	Easy	I1_6	48	Fibers in oranges can be used to make fabric	0.0	No	RIGHT	844.6088	RIGHT	319.7566	LEFT	720.5416	RIGHT	1804.4785	11.3	0.4	Probable_Truth	LEFT	LEFT	1	776.1032	5	39:06.3
55	Self	S200221	0.5	1	2	2	1	0.4	1283.333336	1150.000002	2216.666671	1933.333337	Major	Wrong_doings	35	You have let a homeless man into your house	C1_11	0.0	Easy	I1_53	5	There are 9 rings in the Olympic flag	0.888888889	No	RIGHT	591.75	LEFT	1032.4156	LEFT	3703.0261	RIGHT	1555.7115	10.9	0.4	Probable_Lie	LEFT	RIGHT	1	1494.5918	6	39:33.8
17	Self	S200221	0.666666667	1	2	1	2	0.2	1283.333336	1000.000002	1783.333337	1650.000003	Minor	Good_deeds	36	You have volunteered every week for many years	C1_31	0.2	Hard	I1_1	49	Singapore is a poor country	0.0	Yes	RIGHT	553.1454	LEFT	826.95	LEFT	3262.6422	LEFT	1320.0749	10.7	0.2	Probable_Lie	RIGHT	RIGHT	1	686.0881	7	39:58.7
39	Self	S200221	0.833333333	1	2	2	1	0.7	1500.000003	1500.000003	1933.333337	1500.000003	Minor	Good_deeds	33	You have blackmailed others for money	C1_30	0.0	Hard	I1_58	58	Statute of Liberty is in New York	0.0	No	RIGHT	430.7122	RIGHT	403.4496	LEFT	895.4518	RIGHT	1237.3556	11.4	0.7	Probable_Truth	LEFT	LEFT	1	730.3739	8	40:21.4
42	Self	S200221	0.833333333	2	1	1	2	0.6	1350.000003	1066.666669	1500.000003	1500.000003	Minor	Wrong_doings	54	You have bought cocaine	C2_45	1.0	Hard	I2_13	41	Today is a weekday	0.944444444	Yes	RIGHT	1580.7318	LEFT	751.226	LEFT	1046.3635	RIGHT	1696.2226	10.8	0.6	Probable_Lie	LEFT	LEFT	6	1086.7035	9	40:45.6
113	Computer	S200221	0.666666667	1	2	1	2	0.1	1000.000002	1216.666669	2350.000005	2066.666671	Minor	Good_deeds	36	You have volunteered every week for many years	C1_31	0.2	Hard	I1_1	49	Singapore is a poor country	0.0	Yes	LEFT	657.0134	RIGHT	649.5565	LEFT	2010.8488	LEFT	1192.5199	10.8	0.1	Probable_Truth	RIGHT	RIGHT	6	611.3683299	10	41:09.9
124	Computer	S200221	0.666666667	2	1	2	1	0.2	1433.333336	1433.333336	2350.000005	1650.000003	Major	Wrong_doings	57	You have thrown your trash into the bin	C1_16	0.0	Hard	I2_2	51	Mexico's National Day is September 16	1.0	Yes	LEFT	708.874	LEFT	383.7696	RIGHT	2080.3713	RIGHT	2488.5599	10.8	0.2	Probable_Lie	RIGHT	LEFT	5	777.8472616	11	41:35.8
1	Self	S200221	0.5	1	2	1	2	0.2	1500.000003	1350.000003	2500.000005	1500.000003	Major	Good_deeds	38	You have sheltered others from disasters	C2_37	0.65	Hard	I1_15	36	The current century is 21st	0.777777778	Yes	RIGHT	311.5312	RIGHT	724.1125	RIGHT	3253.3845	RIGHT	1456.7074	11.0	0.2	Probable_Truth	RIGHT	LEFT	2	1637.3367	12	42:02.6
69	Self	S200221	0.666666667	1	2	2	1	0.3	1350.000003	1000.000002	1783.333337	2350.000005	Minor	Good_deeds	48	You have started a hotline for victims of bully	C2_48	0.05	Hard	I1_40	53	Kangaroos live in Africa	0.944444444	No	RIGHT	304.8278	RIGHT	410.1954	LEFT	2351.4568	LEFT	2930.3264	11.3	0.3	Probable_Truth	RIGHT	RIGHT	6	828.3613	13	42:28.5
