index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
143	Computer	S200217	0.8333333333333334	2	1	2	1	0.6	1500.000003	1283.3333359	2350.0000047	1650.0000033	Major	Good_deeds	46	You have kept your promises	C2_23	0.7	Hard	I2_21	19	Beer is an alcoholic drink	0.0	Yes	LEFT	923.0837000000064	LEFT	945.012200000008	RIGHT	1711.9139000000132	RIGHT	1208.2476000000495	10.0	0.6	Probable_Lie	RIGHT	LEFT	3	722.2927824325466	0	2020-02-17 10:56:50.402643
117	Computer	S200217	0.6666666666666666	1	2	2	1	0.6	1500.000003	1150.0000023	2066.6666708	2500.000005	Major	Good_deeds	39	You have taken responsibility for your actions	C2_31	0.95	Hard	I2_49	14	Obama is the USA president now	0.0	No	LEFT	536.3434000000211	RIGHT	748.0680000000461	RIGHT	1493.558699999994	RIGHT	1608.0556999999658	10.0	0.6	Probable_Truth	LEFT	LEFT	2	634.0431296601454	1	2020-02-17 10:57:15.211937
116	Computer	S200217	0.6666666666666666	1	2	2	1	0.8	1216.6666691	1283.3333359	1500.000003	2066.6666708	Minor	Good_deeds	15	You have thrown your trash into the bin	C1_6	1.0	Easy	I1_14	44	The Franco-Prussian War occurred in the 19th century	0.0	Yes	LEFT	503.7932999999839	LEFT	617.016700000022	RIGHT	2143.814399999997	RIGHT	1662.2993999999949	10.0	0.8	Probable_Lie	RIGHT	LEFT	3	725.4373405203705	2	2020-02-17 10:57:39.507191
92	Self	S200217	0.8333333333333334	2	1	2	1	0.7	1066.6666688	1066.6666688	1500.000003	1783.3333369	Minor	Wrong_doings	43	You have pretended to be busy to avoid a social situation	C1_13	0.0	Hard	I1_8	23	Earth's atmosphere extends up to 10,000km into space	0.0	Yes	RIGHT	773.8415000000032	LEFT	688.3870999999999	RIGHT	2569.211100000018	LEFT	1767.9435999999669	9.3	0.7	Probable_Lie	RIGHT	RIGHT	1	374.3618999999967	3	2020-02-17 10:58:03.675079
85	Self	S200217	0.8333333333333334	1	2	2	1	0.6	1216.6666691	1216.6666691	2216.6666711000003	2500.000005	Minor	Wrong_doings	42	You have borrowed things and never returned	C1_27	0.05	Easy	I2_11	2	There are 6 million animal species on Earth	0.0555555555555556	No	RIGHT	456.50280000000976	RIGHT	567.9076999999779	RIGHT	1973.3577999999736	LEFT	1919.8807999999872	9.9	0.6	Probable_Truth	LEFT	LEFT	1	557.9528999999752	4	2020-02-17 10:58:28.874312
62	Self	S200217	0.5	2	1	2	1	0.4	1350.0000027	1150.0000023	1650.0000033	2350.0000047	Minor	Good_deeds	49	You have cheated on a test	C2_45	0.0	Hard	I1_31	44	A square has 3 corners	0.722222222222222	Yes	RIGHT	1271.200599999986	LEFT	344.34920000001057	LEFT	1684.1382000000067	LEFT	1151.6070999999783	9.5	0.4	Probable_Lie	RIGHT	RIGHT	2	872.3133999999959	5	2020-02-17 10:58:53.275090
15	Self	S200217	0.5	2	1	2	1	0.5	1216.6666691	1000.000002	2500.000005	1650.0000033	Major	Good_deeds	11	You have held the elevator doors for others	C1_37	0.0	Easy	I1_15	39	It takes 500 days to travel from Earth to Mars	0.722222222222222	Yes	RIGHT	781.8684000000076	RIGHT	321.2582000001021	RIGHT	1988.7149999999565	RIGHT	1750.9575999999925	10.0	0.5	Probable_Truth	LEFT	LEFT	3	1451.9616000000042	6	2020-02-17 10:59:18.514765
69	Self	S200217	0.6666666666666666	1	2	2	1	0.2	1433.3333362	1000.000002	1650.0000033	2066.6666708	Minor	Wrong_doings	3	You have deceived a loved one	C1_35	0.0	Hard	I1_17	4	December is the last month of the year	0.722222222222222	No	RIGHT	304.56550000008065	RIGHT	382.0905999999695	RIGHT	1405.539699999963	LEFT	2968.082299999992	10.2	0.2	Probable_Truth	LEFT	LEFT	1	446.0811000000149	7	2020-02-17 10:59:42.746543
49	Self	S200217	0.5	1	2	1	2	0.8	1283.3333359	1150.0000023	1783.3333369	1650.0000033	Major	Wrong_doings	24	You have switched off appliances when not in use	C2_56	0.5	Easy	I2_35	37	"Statue of Liberty is 151 feet tall"	0.888888888888889	Yes	RIGHT	943.7404000000242	LEFT	704.51079999998	LEFT	2159.367999999972	RIGHT	2854.2331999999533	9.4	0.8	Probable_Lie	LEFT	RIGHT	2	1162.337999999977	8	2020-02-17 11:00:09.010904
125	Computer	S200217	0.6666666666666666	2	1	2	1	0.4	1000.000002	1216.6666691	2350.0000047	2500.000005	Minor	Good_deeds	43	You have done something against your values	C1_43	1.0	Easy	I1_54	10	Singapore is a country	0.0555555555555556	Yes	LEFT	1011.4878000000544	RIGHT	398.91389999991134	RIGHT	1549.9419999999873	LEFT	1775.907400000051	9.4	0.4	Probable_Truth	LEFT	LEFT	2	785.4155769265992	9	2020-02-17 11:00:34.170425
94	Self	S200217	0.8333333333333334	2	1	2	1	0.1	1216.6666691	1150.0000023	2066.6666708	2350.0000047	Minor	Wrong_doings	24	You have extorted money from anyone	C2_28	0.85	Hard	I2_24	17	China is a part of Asia	0.944444444444444	Yes	RIGHT	830.3028999999924	RIGHT	247.5390999999263	RIGHT	1843.7794000000167	LEFT	2560.102700000016	9.499999999999998	0.1	Probable_Lie	LEFT	LEFT	3	680.6869999999208	10	2020-02-17 11:00:59.690281
1	Self	S200217	0.5	1	2	1	2	0.4	1350.0000027	1350.0000027	1783.3333369	1783.3333369	Major	Wrong_doings	40	You have intentionally let others cut in line	C2_54	0.85	Hard	I1_29	57	Christmas Day is in March	0.0555555555555556	No	RIGHT	648.4944999999698	LEFT	842.1172000000752	LEFT	1831.8011999999728	LEFT	3380.7583999999906	9.099999999999998	0.4	Probable_Lie	RIGHT	LEFT	5	1665.2048000000832	11	2020-02-17 11:01:26.890481
64	Self	S200217	0.6666666666666666	1	2	1	2	0.1	1350.0000027	1433.3333362	2216.6666711000003	1650.0000033	Major	Good_deeds	48	You have given up your seat in the MRT	C2_3	0.85	Easy	I1_12	54	It is 20th Century now	0.888888888888889	No	RIGHT	289.28689999997914	RIGHT	648.2416000000057	LEFT	1391.1977999999865	RIGHT	2567.625200000066	9.199999999999998	0.1	Probable_Lie	LEFT	LEFT	4	479.66519999999946	12	2020-02-17 11:01:51.490433
112	Computer	S200217	0.6666666666666666	1	2	1	2	0.7	1350.0000027	1066.6666688	1933.3333372	1933.3333372	Major	Wrong_doings	58	You have volunteered every week for many years	C2_10	0.95	Hard	I1_43	41	Astatine is the rarest element in the Earth's crust	0.888888888888889	Yes	LEFT	216.5507000000844	RIGHT	1013.6552999999822	LEFT	2526.69329999992	RIGHT	2078.1491999999844	9.199999999999998	0.7	Probable_Truth	LEFT	LEFT	1	895.40319218534	13	2020-02-17 11:02:17.074296
115	Computer	S200217	0.6666666666666666	1	2	1	2	0.4	1066.6666688	1350.0000027	1650.0000033	1650.0000033	Major	Wrong_doings	31	You have lied to your parents	C1_39	0.0	Easy	I1_4	43	Arabi is the oldest surviving breed of horse	0.764705882352941	No	LEFT	216.0121000000572	RIGHT	497.9112999999416	RIGHT	2159.950999999978	LEFT	982.9879999999775	9.199999999999998	0.4	Probable_Truth	RIGHT	RIGHT	5	805.4574268832789	14	2020-02-17 11:02:40.018365
