index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
76	Self	S200313	0.6666666666666666	2	1	2	1	0.6	1350.0000027	1216.6666691	1933.3333372	1650.0000033	Major	Wrong_doings	8	You have watched a pirated movie	C1_43	1.0	Hard	I2_60	33	Vegetarians can eat vegetable products	0.0555555555555556	No	RIGHT	932.8033000001597	LEFT	967.8330000001552	RIGHT	2078.490200000033	LEFT	2207.506199999898	9.4	0.6	Probable_Lie	RIGHT	RIGHT	2	988.5196000000178	0	2020-03-13 13:51:40.789811
102	Computer	S200313	0.5	1	2	2	1	0.2	1500.000003	1216.6666691	2350.0000047	2216.6666711000003	Minor	Good_deeds	20	You have engaged in arson	C2_13	0.9	Easy	I1_8	19	Beer is an alcoholic drink	0.722222222222222	No	LEFT	560.7853999999861	RIGHT	827.5496000001112	RIGHT	1314.417800000001	LEFT	1176.6089000000193	9.4	0.2	Probable_Lie	RIGHT	LEFT	4	631.6707289907254	1	2020-03-13 13:52:05.157365
17	Self	S200313	0.6666666666666666	1	2	1	2	0.1	1150.0000023	1000.000002	2066.6666708	2216.6666711000003	Major	Wrong_doings	19	You have helped others to pick up their belongings	C2_33	0.0	Easy	I2_41	13	Singapore is in Africa	0.0	No	LEFT	289.47649999986425	LEFT	864.5546000000195	LEFT	992.3873999998704	RIGHT	1512.4379999999746	9.4	0.1	Probable_Lie	RIGHT	RIGHT	2	914.9502000000213	2	2020-03-13 13:52:28.741417
24	Self	S200313	0.6666666666666666	2	1	1	2	0.5	1216.6666691	1216.6666691	2500.000005	2216.6666711000003	Minor	Good_deeds	35	You have cheated on a test	C2_17	0.0	Easy	I1_29	29	Chickens lay eggs	0.0	Yes	RIGHT	728.0776999998579	RIGHT	304.343599999811	RIGHT	888.1754000001365	LEFT	1217.1479000001	9.9	0.5	Probable_Truth	LEFT	LEFT	1	839.1165999998975	3	2020-03-13 13:52:52.445743
3	Self	S200313	0.5	1	2	1	2	0.2	1216.6666691	1150.0000023	1650.0000033	2500.000005	Major	Good_deeds	57	You have been donating all your excess food to a food bank	C1_3	0.0	Easy	I1_50	8	Cheese is an Asian staple	0.0	Yes	RIGHT	136.58689999988383	LEFT	807.3152999998001	LEFT	1656.8453999998385	RIGHT	2874.2807000000994	9.7	0.2	Probable_Lie	LEFT	RIGHT	2	903.0706999999438	4	2020-03-13 13:53:17.917509
64	Self	S200313	0.6666666666666666	1	2	1	2	0.6	1150.0000023	1216.6666691	2066.6666708	2066.6666708	Major	Good_deeds	7	You have followed instructions	C2_30	0.05	Hard	I1_17	17	The Moon orbits around the Earth	0.666666666666667	Yes	RIGHT	1000.1472999999804	LEFT	1125.5376999999953	LEFT	1422.73299999988	RIGHT	1133.9798999999855	9.1	0.6	Probable_Lie	RIGHT	RIGHT	2	991.784700000153	5	2020-03-13 13:53:42.669527
131	Computer	S200313	0.8333333333333334	1	2	1	2	0.2	1433.3333362	1150.0000023	2500.000005	1933.3333372	Minor	Good_deeds	12	You have bribed a police officer	C2_16	0.0	Easy	I1_10	42	It is night time now	0.0	Yes	LEFT	208.6795999998685	LEFT	787.3388000000432	LEFT	936.2906999999724	LEFT	981.0611999998856	9.1	0.2	Probable_Lie	LEFT	RIGHT	1	654.1424896648263	6	2020-03-13 13:54:05.821941
105	Computer	S200313	0.5	2	1	1	2	0.1	1150.0000023	1283.3333359	1933.3333372	1933.3333372	Minor	Wrong_doings	13	You have extorted money from anyone	C2_34	0.2	Easy	I2_46	14	The Earth is round	0.888888888888889	No	LEFT	1306.4507999999933	LEFT	119.28330000000642	RIGHT	816.2351999999373	LEFT	1315.7753000000412	9.1	0.1	Probable_Lie	LEFT	LEFT	5	536.9043216461724	7	2020-03-13 13:54:28.781881
66	Self	S200313	0.6666666666666666	1	2	1	2	0.7	1350.0000027	1500.000003	2500.000005	1650.0000033	Minor	Good_deeds	30	You have organized a violent protest	C2_47	0.8	Easy	I2_18	23	Teddy Roosevelt was the youngest US President	0.0	Yes	RIGHT	608.4285999997974	RIGHT	845.3947000000426	RIGHT	2142.8874000000637	LEFT	1143.6191999998755	9.8	0.7	Probable_Truth	RIGHT	RIGHT	5	943.296299999929	8	2020-03-13 13:54:54.037183
53	Self	S200313	0.5	1	2	2	1	0.7	1283.3333359	1066.6666688	2216.6666711000003	2066.6666708	Major	Wrong_doings	23	You have downloaded pirated movies	C2_60	1.0	Hard	I2_3	9	The human's inner ear is larger than a pencil eraser	0.833333333333333	No	RIGHT	296.6957999999522	RIGHT	392.687899999828	RIGHT	3309.957499999882	LEFT	1104.0457000001425	10.5	0.7	Probable_Truth	LEFT	LEFT	1	1102.4708999998438	9	2020-03-13 13:55:19.454265
