"Participant"	"Task"	"Stimulus_Side"	"Response"	"RT"	"ITI"	"Previous_Response"	"Previous_RT"	"Stop_Signal"	"Stop_Signal_RT"	"Conflict"	"Cue_Response"	"Cue_Response_RT"	"Trial_Onset"	"Trial_End"	"Trial_Order"	"Duration"
"S200212"	"Conflict_Resolution"	"LEFT"	"LEFT"	912.631399999896	850.0000017	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-12 10:48:29.732962"	"2020-02-12 10:48:30.853509"	1	5.87134225
"S200212"	"Conflict_Resolution"	"LEFT"	"LEFT"	458.103999999935	1466.6666696	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-12 10:48:32.339279"	"2020-02-12 10:48:33.005693"	2	5.87134225
"S200212"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	395.315299999993	833.333335	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-12 10:48:33.857921"	"2020-02-12 10:48:34.460992"	3	5.87134225
"S200212"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	396.487800000045	1050.0000021	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-12 10:48:35.528905"	"2020-02-12 10:48:36.132419"	4	5.87134225
"S200212"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	378.033599999981	700.0000014	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-12 10:48:36.850791"	"2020-02-12 10:48:37.436414"	5	5.87134225
"S200212"	"Conflict_Resolution"	"RIGHT"	"LEFT"	423.417799999925	1333.333336	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-12 10:48:38.790191"	"2020-02-12 10:48:39.422861"	6	5.87134225
"S200212"	"Conflict_Resolution"	"LEFT"	"RIGHT"	521.742800000084	866.6666684	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-12 10:48:40.307669"	"2020-02-12 10:48:41.036281"	7	5.87134225
"S200212"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	435.284699999897	883.3333351	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-12 10:48:41.938124"	"2020-02-12 10:48:42.581537"	8	5.87134225
"S200212"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	530.459000000064	1050.0000021	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-12 10:48:43.651196"	"2020-02-12 10:48:44.389223"	9	5.87134225
"S200212"	"Conflict_Resolution"	"LEFT"	"LEFT"	486.340000000041	766.6666682	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-12 10:48:45.175233"	"2020-02-12 10:48:45.868089"	10	5.87134225
"S200212"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	563.16819999995	700.0000014	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-12 10:48:46.586298"	"2020-02-12 10:48:47.357593"	11	5.87134225
"S200212"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	489.326100000085	1283.3333359	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-12 10:48:48.659729"	"2020-02-12 10:48:49.357641"	12	5.87134225
"S200212"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	397.447899999975	933.3333352	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-12 10:48:50.312121"	"2020-02-12 10:48:50.917713"	13	5.87134225
"S200212"	"Conflict_Resolution"	"LEFT"	"LEFT"	492.59440000003	1400.0000028	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-12 10:48:52.336771"	"2020-02-12 10:48:53.036084"	14	5.87134225
