index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
11	Self	S200214	0.5	2	1	1	2	0.4	1066.6666688	1283.3333359	2066.6666708	1650.0000033	Minor	Wrong_doings	22	You have cursed at your loved ones	C1_30	0.0	Easy	I2_35	35	A dog has four legs	0.0	No	RIGHT	653.9688000000297	RIGHT	576.3419999999542	LEFT	1342.5933999999415	RIGHT	1000.0863999999864	10.4	0.4	Probable_Truth	LEFT	RIGHT	6	908.164700000043	0	2020-02-14 11:55:26.946608
22	Self	S200214	0.6666666666666666	1	2	2	1	0.4	1500.000003	1150.0000023	2066.6666708	1500.000003	Major	Good_deeds	28	You have lost everything just to help others	C1_48	0.0	Hard	I2_31	45	Some owl species hunt fish	0.888888888888889	Yes	RIGHT	759.5810999999912	LEFT	758.8068000000021	RIGHT	3015.2136000000382	LEFT	2534.650700000043	10.0	0.4	Probable_Lie	LEFT	LEFT	5	514.6717000000081	1	2020-02-14 11:55:53.322938
84	Self	S200214	0.8333333333333334	1	2	2	1	0.4	1350.0000027	1350.0000027	1783.3333369	2066.6666708	Minor	Wrong_doings	39	You have been convicted in court	C2_8	1.0	Hard	I1_5	13	Summer is hotter than winter	0.0	Yes	RIGHT	441.40119999997296	RIGHT	610.0732999999536	LEFT	904.1539999999486	RIGHT	1999.4296999999503	10.4	0.4	Probable_Truth	LEFT	LEFT	1	925.655699999993	2	2020-02-14 11:56:17.323141
99	Computer	S200214	0.5	1	2	1	2	0.6	1350.0000027	1000.000002	1650.0000033	1783.3333369	Major	Wrong_doings	40	You have donated a pay cheque to charity	C2_18	0.95	Easy	I1_32	49	Singapore ranked 8th in World's smallest countries	0.111111111111111	No	LEFT	599.906400000009	RIGHT	786.7540999999392	LEFT	1666.226800000004	RIGHT	2919.02140000002	10.4	0.6	Probable_Truth	RIGHT	RIGHT	5	693.137578310389	3	2020-02-14 11:56:42.346354
143	Computer	S200214	0.8333333333333334	2	1	2	1	0.4	1066.6666688	1283.3333359	1500.000003	2216.6666711000003	Major	Wrong_doings	42	You have stopped using plastics completely	C1_49	0.5	Easy	I2_21	28	Kangaroos live in Africa	0.0	No	LEFT	908.0066000000216	LEFT	872.4627000000282	LEFT	1535.1084000000128	LEFT	1192.461900000012	10.4	0.4	Probable_Lie	LEFT	RIGHT	1	612.2008814231721	4	2020-02-14 11:57:06.107326
94	Self	S200214	0.8333333333333334	2	1	2	1	0.3	1500.000003	1066.6666688	1783.3333369	1783.3333369	Minor	Wrong_doings	59	You have cursed at others	C2_38	0.55	Hard	I1_26	38	Mexico's National Day is September 16	0.666666666666667	Yes	RIGHT	810.0271999999222	RIGHT	350.5635000000211	RIGHT	1599.3539999999484	LEFT	2962.30700000001	10.7	0.3	Probable_Truth	RIGHT	RIGHT	3	722.263699999985	5	2020-02-14 11:57:31.258536
53	Self	S200214	0.5	1	2	2	1	0.6	1283.3333359	1283.3333359	1500.000003	1933.3333372	Minor	Wrong_doings	57	You have done something against your values	C1_5	1.0	Easy	I1_54	14	"Statue of Liberty is 151 feet tall"	0.0	Yes	RIGHT	560.0862999999663	RIGHT	614.8245000000543	LEFT	1983.4635000000844	LEFT	2075.378600000022	11.3	0.6	Probable_Truth	LEFT	LEFT	1	1218.563300000028	6	2020-02-14 11:57:56.282707
79	Self	S200214	0.6666666666666666	2	1	2	1	0.2	1066.6666688	1216.6666691	2350.0000047	1500.000003	Major	Good_deeds	48	You have used a fake name online	C1_23	0.8	Easy	I2_55	55	Acoustic Kitty refers to cat with implants	1.0	Yes	RIGHT	378.2446000000164	RIGHT	400.2760999999282	RIGHT	1223.4376000000111	LEFT	2180.7124000000613	11.5	0.2	Probable_Lie	LEFT	LEFT	4	819.8482999999896	7	2020-02-14 11:58:19.995014
30	Self	S200214	0.6666666666666666	2	1	2	1	0.1	1000.000002	1216.6666691	2066.6666708	2066.6666708	Major	Good_deeds	52	You have assisted in a crime	C1_37	0.05	Hard	I2_41	11	Nanyang Technological University is in Australia	0.0	Yes	RIGHT	615.6392000000324	RIGHT	336.32680000005166	LEFT	1223.492800000031	LEFT	1779.8117999999477	11.6	0.1	Probable_Truth	LEFT	LEFT	1	703.6875000000009	8	2020-02-14 11:58:43.579183
77	Self	S200214	0.6666666666666666	2	1	2	1	0.5	1216.6666691	1433.3333362	2500.000005	2216.6666711000003	Minor	Wrong_doings	34	You have said sorry when you were rude	C2_46	0.95	Hard	I2_56	26	Feijoa is a type of grape	0.0	Yes	RIGHT	628.9084000000003	LEFT	328.6491999999725	RIGHT	1711.575899999957	LEFT	1919.918199999984	11.1	0.5	Probable_Lie	RIGHT	RIGHT	2	535.2726999999504	9	2020-02-14 11:59:08.642838
