"Participant"	"Task"	"Stimulus_Side"	"Response"	"RT"	"ITI"	"Previous_Response"	"Previous_RT"	"Stop_Signal"	"Stop_Signal_RT"	"Conflict"	"Cue_Response"	"Cue_Response_RT"	"Trial_Onset"	"Trial_End"	"Trial_Order"	"Duration"
"S200214"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	1119.56439999994	883.3333351	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-14 11:29:09.878283"	"2020-02-14 11:29:11.207928"	1	5.68402198333333
"S200214"	"Conflict_Resolution"	"LEFT"	"RIGHT"	975.085799999988	1250.0000025	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-14 11:29:12.478187"	"2020-02-14 11:29:13.661743"	2	5.68402198333333
"S200214"	"Conflict_Resolution"	"RIGHT"	"LEFT"	885.125700000003	600.0000012	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-14 11:29:14.280618"	"2020-02-14 11:29:15.373920"	3	5.68402198333333
"S200214"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	714.435999999978	650.0000013	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-14 11:29:16.043630"	"2020-02-14 11:29:16.965374"	4	5.68402198333333
"S200214"	"Conflict_Resolution"	"RIGHT"	"LEFT"	825.941599999965	1466.6666696	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-14 11:29:18.451415"	"2020-02-14 11:29:19.485431"	5	5.68402198333333
"S200214"	"Conflict_Resolution"	"LEFT"	"LEFT"	1326.92249999991	716.6666681	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-14 11:29:20.223116"	"2020-02-14 11:29:21.759764"	6	5.68402198333333
"S200214"	"Conflict_Resolution"	"LEFT"	"LEFT"	1450.05839999999	850.0000017	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-14 11:29:22.627932"	"2020-02-14 11:29:24.286164"	7	5.68402198333333
"S200214"	"Conflict_Resolution"	"LEFT"	"LEFT"	622.587700000054	1150.0000023	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-14 11:29:25.455105"	"2020-02-14 11:29:26.286414"	8	5.68402198333333
"S200214"	"Conflict_Resolution"	"LEFT"	"LEFT"	425.316400000042	1466.6666696	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2020-02-14 11:29:27.772874"	"2020-02-14 11:29:28.404855"	9	5.68402198333333
"S200214"	"Conflict_Resolution"	"LEFT"	"LEFT"	415.691200000083	516.6666677	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2020-02-14 11:29:28.942374"	"2020-02-14 11:29:29.566490"	10	5.68402198333333
