Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S210118	Conflict_Resolution	RIGHT	RIGHT	1159.76510000007	583.3333345	n/a	n/a	2021-01-18 13:46:22.743349	2021-01-18 13:46:24.111777	1	6.59610588333333	True	n/a	n/a	n/a	n/a
S210118	Conflict_Resolution	LEFT	LEFT	410.275799999908	1400.0000028	n/a	n/a	2021-01-18 13:46:25.531846	2021-01-18 13:46:26.152954	2	6.59610588333333	False	n/a	n/a	n/a	n/a
S210118	Conflict_Resolution	RIGHT	RIGHT	348.721800000021	1283.3333359	n/a	n/a	2021-01-18 13:46:27.458149	2021-01-18 13:46:28.014741	3	6.59610588333333	False	n/a	n/a	n/a	n/a
S210118	Conflict_Resolution	RIGHT	RIGHT	387.356300000079	550.0000011	n/a	n/a	2021-01-18 13:46:28.587541	2021-01-18 13:46:29.184347	4	6.59610588333333	False	n/a	n/a	n/a	n/a
S210118	Conflict_Resolution	LEFT	LEFT	628.389300000094	900.0000018	n/a	n/a	2021-01-18 13:46:30.106613	2021-01-18 13:46:30.943486	5	6.59610588333333	True	n/a	n/a	n/a	n/a
S210118	Conflict_Resolution	LEFT	LEFT	439.545800000019	1050.0000021	n/a	n/a	2021-01-18 13:46:32.015433	2021-01-18 13:46:32.665542	6	6.59610588333333	True	n/a	n/a	n/a	n/a
S210118	Conflict_Resolution	LEFT	LEFT	464.499400000022	966.6666686	n/a	n/a	2021-01-18 13:46:33.654469	2021-01-18 13:46:34.328259	7	6.59610588333333	False	n/a	n/a	n/a	n/a
S210118	Conflict_Resolution	LEFT	RIGHT	405.003800000031	1466.6666696	n/a	n/a	2021-01-18 13:46:35.817495	2021-01-18 13:46:36.431510	8	6.59610588333333	True	n/a	n/a	n/a	n/a
S210118	Conflict_Resolution	LEFT	LEFT	365.249899999981	1316.6666693	n/a	n/a	2021-01-18 13:46:37.769537	2021-01-18 13:46:38.343559	9	6.59610588333333	False	n/a	n/a	n/a	n/a
S210118	Conflict_Resolution	RIGHT	RIGHT	722.780499999999	983.3333353	n/a	n/a	2021-01-18 13:46:39.348329	2021-01-18 13:46:40.279713	10	6.59610588333333	True	n/a	n/a	n/a	n/a
