index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
52	Self	S210317	0.5	1	2	2	1	0.8	1350.0000027	1283.3333359	2066.6666708	2066.6666708	Minor	Good_deeds	58	You have attended all lectures as a student	C1_58	0.95	Easy	I2_1	23	Singapore is in Africa	0.0	Yes	RIGHT	811.7443000000435	RIGHT	600.1878999999803	LEFT	1136.312500000031	RIGHT	1455.085100000019	10.8	0.8	Probable_Truth	RIGHT	LEFT	1	1596.6913999999974	0	2021-03-17 15:13:26.597757
126	Computer	S210317	0.6666666666666666	2	1	2	1	0.3	1283.3333359	1216.6666691	2350.0000047	1500.000003	Major	Good_deeds	19	You have taken months off to volunteer	C2_26	0.0	Hard	I1_58	28	The Amazon forest covers an area of 1 billion acres	0.888888888888889	Yes	RIGHT	519.2400999999904	LEFT	1229.3144999999868	RIGHT	1413.7860999999816	LEFT	1399.3351000000305	10.8	0.3	Probable_Truth	RIGHT	RIGHT	6	504.8202963691919	1	2021-03-17 15:13:50.589262
127	Computer	S210317	0.6666666666666666	2	1	2	1	0.1	1433.3333362	1150.0000023	2216.6666711000003	2350.0000047	Minor	Good_deeds	7	You have violated a traffic law	C2_58	0.0	Easy	I1_41	58	Christmas Day is in March	0.777777777777778	Yes	LEFT	2407.6443000000154	LEFT	805.921699999999	LEFT	1346.0129999999708	LEFT	1239.733899999976	10.8	0.1	Probable_Lie	RIGHT	RIGHT	2	750.5883489365161	2	2021-03-17 15:14:16.861734
77	Self	S210317	0.6666666666666666	2	1	2	1	0.4	1000.000002	1216.6666691	2350.0000047	2216.6666711000003	Minor	Good_deeds	9	You have watched an M18 movie when you were underage	C2_9	1.0	Hard	I2_16	52	Afghan Hound is the first cloned cat	0.0	No	LEFT	2584.584599999971	LEFT	732.4057000000153	LEFT	2328.5940999999752	LEFT	1879.670799999985	10.8	0.4	Probable_Lie	RIGHT	RIGHT	2	1163.8781999999992	3	2021-03-17 15:14:44.908030
66	Self	S210317	0.6666666666666666	1	2	1	2	0.4	1500.000003	1000.000002	1500.000003	1500.000003	Minor	Wrong_doings	24	You have a non-judgmental attitude towards everyone	C1_24	0.85	Easy	I1_42	42	Most plants emit oxygen in the day	0.944444444444444	Yes	LEFT	1211.6680000000315	RIGHT	365.7676000000265	RIGHT	1720.226499999967	RIGHT	1645.492900000022	10.4	0.4	Probable_Lie	RIGHT	RIGHT	2	866.9054000000642	4	2021-03-17 15:15:08.796867
120	Computer	S210317	0.6666666666666666	2	1	1	2	0.2	1150.0000023	1000.000002	1500.000003	1650.0000033	Major	Wrong_doings	13	You have cheated on a national exam	C1_7	0.05	Hard	I2_4	34	A triangle has three sides	0.0	No	RIGHT	471.9933999999739	LEFT	853.1391000000212	RIGHT	1095.8855000000085	LEFT	1038.8966999998956	10.4	0.2	Probable_Truth	RIGHT	RIGHT	4	940.2112612013162	5	2021-03-17 15:15:31.059961
112	Computer	S210317	0.6666666666666666	1	2	1	2	0.4	1216.6666691	1000.000002	2066.6666708	1783.3333369	Major	Wrong_doings	8	You have borrowed things and never returned	C1_44	0.0	Hard	I1_50	24	December is the last month of the year	0.0	Yes	LEFT	936.7326999999932	LEFT	481.8397999999888	RIGHT	1182.902399999989	LEFT	2120.742199999995	10.4	0.4	Probable_Truth	LEFT	LEFT	2	921.6407082119944	6	2021-03-17 15:15:55.341768
96	Computer	S210317	0.5	1	2	1	2	0.1	1150.0000023	1283.3333359	2216.6666711000003	1650.0000033	Minor	Wrong_doings	20	You have failed to keep promises	C1_53	0.0	Easy	I2_55	35	Cernan was the second last man to walk on the Moon	0.833333333333333	Yes	RIGHT	986.8855000000848	LEFT	600.9019000000535	LEFT	1527.140300000042	LEFT	2287.820699999997	10.4	0.1	Probable_Truth	LEFT	RIGHT	6	942.7708193675226	7	2021-03-17 15:16:20.565164
121	Computer	S210317	0.6666666666666666	2	1	1	2	0.8	1500.000003	1500.000003	1933.3333372	2066.6666708	Major	Good_deeds	26	You have stopped using plastics completely	C2_13	0.95	Hard	I2_33	33	North Korea is more developed than South Korea	0.833333333333333	Yes	RIGHT	385.1038000000244	LEFT	775.8774999999787	LEFT	1678.5619999999426	LEFT	1788.2219000000532	10.4	0.8	Probable_Lie	RIGHT	LEFT	5	679.9481115282533	8	2021-03-17 15:16:45.452643
3	Self	S210317	0.5	1	2	1	2	0.2	1283.3333359	1066.6666688	1500.000003	1783.3333369	Major	Wrong_doings	27	You have intentionally let others cut in line	C2_54	0.7	Hard	I2_51	46	Today is a weekday	0.0555555555555556	No	RIGHT	2109.4909000000825	LEFT	3136.393099999964	RIGHT	1223.0127999999922	RIGHT	2611.683399999947	10.4	0.2	Probable_Lie	RIGHT	LEFT	6	1163.0969999999934	9	2021-03-17 15:17:13.901337
130	Computer	S210317	0.8333333333333334	1	2	1	2	0.3	1000.000002	1066.6666688	2216.6666711000003	2500.000005	Minor	Good_deeds	17	You have sold illegal drugs	C1_33	0.0	Easy	I2_41	46	Arabi is the oldest surviving breed of horse	0.0555555555555556	No	RIGHT	833.3872000000611	LEFT	544.4281000000046	LEFT	1623.053899999945	LEFT	947.8308999999854	10.4	0.3	Probable_Lie	LEFT	LEFT	2	779.1163746069926	10	2021-03-17 15:17:37.988632
139	Computer	S210317	0.8333333333333334	2	1	1	2	0.5	1283.3333359	1066.6666688	2066.6666708	2350.0000047	Major	Good_deeds	39	You have volunteered every week for many years	C2_11	1.0	Hard	I1_5	38	Chickens lay eggs	0.0	Yes	RIGHT	831.2518999999838	RIGHT	2934.287600000061	RIGHT	1312.4915000000783	LEFT	3627.297200000044	10.9	0.5	Probable_Lie	RIGHT	LEFT	6	862.1172883823795	11	2021-03-17 15:18:06.900144
