Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S210317	Conflict_Resolution	RIGHT	RIGHT	663.520299999959	900.0000018	n/a	n/a	2021-03-17 14:51:08.129137	2021-03-17 14:51:08.999815	1	6.13128496666667	False	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	LEFT	LEFT	516.582200000016	616.6666679	n/a	n/a	2021-03-17 14:51:09.636114	2021-03-17 14:51:10.359731	2	6.13128496666667	False	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	RIGHT	RIGHT	449.650600000041	1100.0000022	n/a	n/a	2021-03-17 14:51:11.478282	2021-03-17 14:51:12.136301	3	6.13128496666667	False	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	RIGHT	RIGHT	872.694499999966	500.000001	n/a	n/a	2021-03-17 14:51:12.655956	2021-03-17 14:51:13.736541	4	6.13128496666667	True	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	RIGHT	RIGHT	432.465100000059	700.0000014	n/a	n/a	2021-03-17 14:51:14.455490	2021-03-17 14:51:15.095310	5	6.13128496666667	False	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	LEFT	LEFT	416.82030000004	916.6666685	n/a	n/a	2021-03-17 14:51:16.031920	2021-03-17 14:51:16.656951	6	6.13128496666667	False	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	RIGHT	RIGHT	551.840300000094	1316.6666693	n/a	n/a	2021-03-17 14:51:17.992964	2021-03-17 14:51:18.752238	7	6.13128496666667	True	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	LEFT	LEFT	412.543199999959	816.6666683	n/a	n/a	2021-03-17 14:51:19.587648	2021-03-17 14:51:20.207904	8	6.13128496666667	False	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	RIGHT	RIGHT	528.09149999996	883.3333351	n/a	n/a	2021-03-17 14:51:21.112524	2021-03-17 14:51:21.848108	9	6.13128496666667	True	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	LEFT	LEFT	552.391900000089	716.6666681	n/a	n/a	2021-03-17 14:51:22.584141	2021-03-17 14:51:23.345143	10	6.13128496666667	True	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	LEFT	LEFT	535.169099999962	916.6666685	n/a	n/a	2021-03-17 14:51:24.280724	2021-03-17 14:51:25.024875	11	6.13128496666667	True	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	LEFT	LEFT	536.403300000075	900.0000018	n/a	n/a	2021-03-17 14:51:25.943419	2021-03-17 14:51:26.689138	12	6.13128496666667	True	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	LEFT	LEFT	517.409899999961	766.6666682	n/a	n/a	2021-03-17 14:51:27.474592	2021-03-17 14:51:28.200606	13	6.13128496666667	True	n/a	n/a	n/a	n/a
S210317	Conflict_Resolution	LEFT	LEFT	483.157400000096	633.3333346	n/a	n/a	2021-03-17 14:51:28.852862	2021-03-17 14:51:29.545092	14	6.13128496666667	True	n/a	n/a	n/a	n/a
