index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
107	Computer	S201210	0.5	2	1	1	2	0.5	1150.000002	1000.000002	1783.333337	1933.333337	Major	Good_deeds	8	You have watched a pirated movie	C2_26	0.0	Easy	I2_11	11	Some owl species hunt fish	1.0	No	LEFT	926.7877	RIGHT	1126.4136	LEFT	1476.5597	RIGHT	1967.7113	10.0	0.5	Probable_Truth	LEFT	RIGHT	6	842.4971953	0	12:26.8
80	Self	S201210	0.833333333	1	2	1	2	0.1	1150.000002	1350.000003	2350.000005	1500.000003	Major	Good_deeds	14	You have deceived a loved one	C1_27	0.0	Easy	I2_35	21	Brazil is in South America	0.888888889	Yes	RIGHT	816.4964	RIGHT	706.0587	LEFT	1670.2405	RIGHT	1423.2702	10.1	0.1	Probable_Truth	RIGHT	RIGHT	5	997.5766	1	12:51.4
39	Self	S201210	0.833333333	1	2	2	1	0.7	1283.333336	1500.000003	1783.333337	1933.333337	Major	Wrong_doings	35	You have adopted a zero-waste lifestyle	C2_35	0.55	Easy	I1_46	54	The first Grammy awards was held in 1959	0.055555556	Yes	RIGHT	535.9691	RIGHT	786.6829	RIGHT	2416.5798	RIGHT	2635.2345	10.8	0.7	Probable_Lie	LEFT	LEFT	4	868.5266	2	13:17.7
68	Self	S201210	0.666666667	1	2	2	1	0.4	1216.666669	1283.333336	1500.000003	1500.000003	Major	Good_deeds	18	You have made counterfeit money	C2_53	0.0	Easy	I2_3	6	The hardest bone in human body is the jawbone	0.611111111	No	RIGHT	653.5848	RIGHT	740.8968	LEFT	1232.0237	RIGHT	3204.8117	11.2	0.4	Probable_Truth	RIGHT	RIGHT	3	1153.9883	3	13:42.7
41	Self	S201210	0.833333333	2	1	1	2	0.2	1000.000002	1066.666669	1783.333337	1650.000003	Minor	Wrong_doings	39	You have coveted things that belong to others	C2_52	0.85	Hard	I1_57	53	Earth's atmosphere extends up to 10,000km into space	0.0	Yes	RIGHT	682.7727	RIGHT	472.5527	LEFT	3631.4031	RIGHT	1678.3244	11.4	0.2	Probable_Truth	LEFT	LEFT	1	837.3707	4	14:08.1
38	Self	S201210	0.833333333	1	2	2	1	0.1	1433.333336	1066.666669	1500.000003	2216.666671	Major	Good_deeds	2	You have sold illegal drugs	C2_24	0.95	Hard	I1_4	48	There are 20 bones in the human skull	0.055555556	No	RIGHT	536.3961	RIGHT	646.0066	LEFT	1312.5152	LEFT	2181.696	11.5	0.1	Probable_Truth	LEFT	LEFT	1	1145.7515	5	14:32.7
18	Self	S201210	0.666666667	1	2	1	2	0.2	1283.333336	1000.000002	2066.666671	2350.000005	Major	Good_deeds	56	You have taken months off to volunteer	C1_15	0.0	Hard	I1_52	15	R. Amundsen discovered the South Pole	0.0	Yes	RIGHT	488.4546	RIGHT	646.7714	RIGHT	2949.1771	LEFT	2015.7423	11.7	0.2	Probable_Truth	RIGHT	RIGHT	6	1234.9491	6	14:59.3
112	Computer	S201210	0.666666667	1	2	1	2	0.4	1283.333336	1216.666669	2216.666671	2066.666671	Major	Wrong_doings	17	You have engaged in underage smoking	C2_47	0.75	Hard	I1_11	52	Hot chocolate was created by the Mayan culture	1.0	No	LEFT	735.1804	RIGHT	911.6492	LEFT	1912.2428	RIGHT	2735.6286	11.7	0.4	Probable_Truth	LEFT	LEFT	2	869.1629967	7	15:25.8
62	Self	S201210	0.5	2	1	2	1	0.7	1216.666669	1066.666669	2066.666671	2500.000005	Minor	Good_deeds	1	You have used heroin	C2_23	0.85	Hard	I2_55	55	A dog has four legs	0.0	Yes	RIGHT	1214.0017	LEFT	528.3746	LEFT	1039.8922	RIGHT	1342.6137	11.0	0.7	Probable_Lie	RIGHT	RIGHT	3	1640.6413	8	15:51.0
48	Self	S201210	0.5	1	2	1	2	0.5	1066.666669	1350.000003	2500.000005	1500.000003	Minor	Good_deeds	31	You have told someone's secret to others	C2_6	0.85	Hard	I1_23	29	Algeria is Africa's second largest country	0.0	Yes	RIGHT	560.6168	RIGHT	797.4328	LEFT	2222.0381	RIGHT	2288.1224	11.5	0.5	Probable_Truth	LEFT	RIGHT	4	1301.9692	9	16:17.1
