index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
89	Self	S200302	0.8333333333333334	2	1	1	2	0.5	1500.000003	1500.000003	2066.6666708	2216.6666711000003	Major	Good_deeds	13	You have engaged in arson	C2_47	0.9	Easy	I1_48	59	The Seine river is 50 feet above sea level	0.944444444444444	Yes	RIGHT	1093.5618999999974	LEFT	720.2024999999708	LEFT	1086.9678999999903	RIGHT	1575.6457000000523	9.5	0.5	Probable_Lie	RIGHT	RIGHT	1	607.6582999999687	0	2020-03-02 13:36:55.842423
60	Self	S200302	0.5	2	1	2	1	0.3	1150.0000023	1350.0000027	2216.6666711000003	2066.6666708	Major	Good_deeds	53	You have stolen something	C1_9	0.7	Hard	I2_48	21	Statute of Liberty is in New York	0.0	Yes	RIGHT	1079.745100000025	LEFT	1680.3969999999708	LEFT	1008.8355999999976	RIGHT	1309.2326999999957	9.2	0.3	Probable_Lie	RIGHT	RIGHT	2	1484.7184999999854	1	2020-03-02 13:37:21.762734
34	Self	S200302	0.8333333333333334	1	2	1	2	0.1	1150.0000023	1066.6666688	2350.0000047	2350.0000047	Minor	Wrong_doings	50	You have adopted a zero-waste lifestyle	C2_50	0.0	Hard	I1_27	15	Nanyang Technological University is in Australia	0.111111111111111	No	RIGHT	464.25569999996696	RIGHT	732.5759000000289	RIGHT	1995.3931999999668	LEFT	2047.0017000000096	9.3	0.1	Probable_Truth	LEFT	LEFT	1	985.3421000000252	2	2020-03-02 13:37:47.475484
62	Self	S200302	0.5	2	1	2	1	0.7	1216.6666691	1216.6666691	1500.000003	1933.3333372	Minor	Wrong_doings	9	You have taken responsibility for your actions	C2_20	0.65	Easy	I1_58	17	There are 6 million animal species on Earth	0.0555555555555556	No	RIGHT	908.0541000000152	LEFT	808.4022000000459	RIGHT	2999.237999999991	LEFT	2037.560699999972	8.6	0.7	Probable_Lie	LEFT	LEFT	6	1285.532699999976	3	2020-03-02 13:38:13.955135
52	Self	S200302	0.5	1	2	2	1	0.4	1150.0000023	1000.000002	2216.6666711000003	1500.000003	Minor	Wrong_doings	31	You have violated a traffic law	C2_13	0.95	Hard	I1_47	25	It takes 500 days to travel from Earth to Mars	0.0555555555555556	No	RIGHT	751.6501000000062	RIGHT	775.5138999999645	LEFT	1662.4215999999024	RIGHT	3263.4579999999005	9.0	0.4	Probable_Lie	LEFT	RIGHT	2	1073.4373999999889	4	2020-03-02 13:38:39.922518
142	Computer	S200302	0.8333333333333334	2	1	2	1	0.4	1066.6666688	1500.000003	2066.6666708	2350.0000047	Major	Wrong_doings	43	You have kept your promises	C2_28	0.0	Hard	I2_49	39	Astatine is the rarest element in the Earth's crust	0.888888888888889	Yes	LEFT	793.0084999999281	RIGHT	969.3459999999732	RIGHT	2648.627999999917	RIGHT	4475.980899999968	9.0	0.4	Probable_Truth	RIGHT	RIGHT	6	934.9400892536288	5	2020-03-02 13:39:09.292012
91	Self	S200302	0.8333333333333334	2	1	1	2	0.6	1150.0000023	1283.3333359	2216.6666711000003	2066.6666708	Minor	Wrong_doings	40	You have followed instructions	C2_14	0.95	Easy	I2_4	24	North Korea is more developed than South Korea	0.944444444444444	Yes	RIGHT	774.6566999999231	RIGHT	935.5251000000636	RIGHT	1518.253800000025	LEFT	2175.649700000008	9.6	0.6	Probable_Truth	RIGHT	RIGHT	2	856.5576999999394	6	2020-03-02 13:39:34.842817
61	Self	S200302	0.5	2	1	2	1	0.4	1433.3333362	1150.0000023	1650.0000033	2500.000005	Minor	Good_deeds	34	You have volunteered for a disaster-related humanitarian mission	C1_58	0.0	Easy	I1_31	11	There are 7 days in a week	0.0555555555555556	Yes	RIGHT	878.6858999999367	RIGHT	432.4464999999691	RIGHT	1476.573599999938	RIGHT	1109.6028000000615	10.0	0.4	Probable_Lie	RIGHT	RIGHT	1	871.3142000000289	7	2020-03-02 13:39:58.922912
68	Self	S200302	0.6666666666666666	1	2	2	1	0.2	1150.0000023	1000.000002	1500.000003	2216.6666711000003	Minor	Wrong_doings	42	You have provided shelter for stray animals	C1_35	0.55	Easy	I2_44	46	Brazil is in South America	0.666666666666667	Yes	RIGHT	632.4951000000283	RIGHT	445.4085999999506	RIGHT	1080.205699999965	RIGHT	3033.489500000087	10.2	0.2	Probable_Lie	RIGHT	RIGHT	1	817.5343000000339	8	2020-03-02 13:40:23.371251
41	Self	S200302	0.8333333333333334	2	1	1	2	0.8	1000.000002	1283.3333359	1933.3333372	1783.3333369	Major	Good_deeds	30	You have made counterfeit money	C1_23	0.05	Easy	I1_13	29	February has 30 days	0.0	No	RIGHT	709.3330999999807	RIGHT	528.331499999922	LEFT	1179.1438999999857	LEFT	1631.2749999999596	11.0	0.8	Probable_Lie	RIGHT	RIGHT	1	901.6570999999658	9	2020-03-02 13:40:46.891895
