index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
20	Self	S201105	0.666666667	1	2	2	1	0.8	1150.000002	1433.333336	2066.666671	2500.000005	Minor	Good_deeds	40	You have sold illegal drugs	C1_14	1.0	Hard	I1_10	48	The hyoid bone is the only jointless bone	0.833333333	No	LEFT	784.6013	RIGHT	1446.0061	LEFT	2405.9991	LEFT	1214.1797	9.2	0.8	Probable_Lie	LEFT	LEFT	5	1863.3156	0	37:13.8
78	Self	S201105	0.666666667	2	1	2	1	0.6	1216.666669	1216.666669	2216.666671	2500.000005	Minor	Wrong_doings	50	You have cursed at your loved ones	C1_31	0.7	Easy	I2_44	2	Mexico's National Day is September 16	0.0	No	RIGHT	782.3057	RIGHT	611.6811	LEFT	2021.352	LEFT	1685.7819	9.8	0.6	Probable_Truth	LEFT	LEFT	1	930.0335	1	37:39.6
4	Self	S201105	0.5	1	2	2	1	0.3	1350.000003	1216.666669	2350.000005	1650.000003	Major	Good_deeds	14	You have blackmailed others for money	C1_57	1.0	Hard	I1_17	43	Red is a color	0.888888889	No	LEFT	758.619	LEFT	853.1359	RIGHT	1305.6679	LEFT	1061.7019	9.8	0.3	Probable_Lie	LEFT	RIGHT	2	1657.0528	2	38:04.4
41	Self	S201105	0.833333333	2	1	1	2	0.2	1350.000003	1433.333336	2350.000005	2216.666671	Major	Wrong_doings	38	You have volunteered for a disaster-related humanitarian mission	C2_42	0.95	Easy	I1_58	58	Cleopatra was born in Greece	0.111111111	No	RIGHT	486.5086	RIGHT	981.5585	RIGHT	2149.8079	LEFT	3441.6003	10.0	0.2	Probable_Truth	LEFT	LEFT	1	914.161	3	38:32.3
58	Self	S201105	0.5	2	1	1	2	0.3	1216.666669	1216.666669	2350.000005	1650.000003	Major	Wrong_doings	50	You have stopped using products tested on animals	C1_50	0.95	Easy	I2_39	39	Singapore is a country	0.111111111	No	RIGHT	374.3975	RIGHT	750.7639	RIGHT	974.3698	LEFT	4255.9497	10.3	0.3	Probable_Truth	LEFT	RIGHT	4	1793.5409	4	38:59.5
72	Self	S201105	0.666666667	2	1	1	2	0.3	1283.333336	1500.000003	1783.333337	2066.666671	Minor	Good_deeds	58	You have helped others to pick up their belongings	C1_51	1.0	Hard	I2_2	40	There are 20 bones in the human skull	0.722222222	Yes	RIGHT	421.7006	RIGHT	917.767	RIGHT	1718.0211	RIGHT	2575.4102	10.6	0.3	Probable_Truth	LEFT	LEFT	2	859.6691	5	39:25.2
17	Self	S201105	0.666666667	1	2	1	2	0.4	1283.333336	1350.000003	1933.333337	1933.333337	Minor	Good_deeds	60	You have watched a pirated movie	C1_11	0.0	Easy	I2_48	9	French is Singapore's official language	0.944444444	Yes	RIGHT	758.3405	RIGHT	453.4463	LEFT	1469.5224	LEFT	2149.2568	11.0	0.4	Probable_Truth	LEFT	LEFT	2	826.7866	6	39:49.9
96	Computer	S201105	0.5	1	2	1	2	0.6	1000.000002	1283.333336	1500.000003	1783.333337	Minor	Good_deeds	59	You have attended all lectures as a student	C2_54	0.25	Hard	I1_43	17	There are 7 days in a week	0.055555556	Yes	RIGHT	1786.1845	LEFT	733.1699	RIGHT	957.8732	RIGHT	2923.1878	11.0	0.6	Probable_Truth	RIGHT	RIGHT	6	595.6499954	7	40:15.1
64	Self	S201105	0.666666667	1	2	1	2	0.8	1500.000003	1283.333336	2216.666671	1500.000003	Minor	Good_deeds	49	You have fabricated facts about yourself	C2_40	1.0	Hard	I2_54	54	Penguin can fly with their wings	0.722222222	No	LEFT	1411.7628	LEFT	734.6963	LEFT	1620.8448	LEFT	1686.9946	11.0	0.8	Probable_Lie	LEFT	LEFT	6	629.4434	8	40:40.3
46	Self	S201105	0.833333333	2	1	2	1	0.7	1433.333336	1150.000002	2500.000005	1650.000003	Minor	Wrong_doings	42	You have engaged in money laundering	C2_27	0.0	Easy	I1_21	58	The Eiffel Tower is in Paris	0.944444444	No	RIGHT	336.3639	RIGHT	914.0914	RIGHT	2487.7274	LEFT	1214.5212	11.7	0.7	Probable_Truth	LEFT	LEFT	1	724.2705	9	41:05.3
139	Computer	S201105	0.833333333	2	1	1	2	0.5	1150.000002	1066.666669	1650.000003	1650.000003	Major	Wrong_doings	9	You have bribed a police officer	C2_9	0.0	Hard	I1_19	19	Last day of the year is 30th December	0.888888889	No	LEFT	445.6159	LEFT	554.3879	LEFT	1621.7568	LEFT	1080.2102	11.7	0.5	Probable_Lie	RIGHT	LEFT	6	509.4314337	10	41:27.6
134	Computer	S201105	0.833333333	1	2	2	1	0.3	1500.000003	1150.000002	2350.000005	2500.000005	Minor	Wrong_doings	39	You have been arrested	C1_6	0.0	Hard	I2_51	15	It is snowing outside now	0.0	No	LEFT	966.3392	LEFT	342.7414	LEFT	2277.5159	LEFT	813.9164	11.7	0.3	Probable_Lie	RIGHT	LEFT	6	877.7730942	11	41:53.0
