index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
30	Self	S200309	0.6666666666666666	2	1	2	1	0.4	1066.6666688	1500.000003	1933.3333372	2216.6666711000003	Minor	Good_deeds	2	You have sorted your trash into recycling bin	C1_14	0.0	Easy	I1_5	5	The Moon orbits around the Earth	0.888888888888889	No	RIGHT	667.0535000000655	RIGHT	352.9162999999471	RIGHT	1335.1093999999648	RIGHT	1334.3419000000267	10.4	0.4	Probable_Truth	LEFT	LEFT	2	557.841499999995	0	2020-03-09 14:00:42.010870
101	Computer	S200309	0.5	1	2	2	1	0.8	1000.000002	1350.0000027	2066.6666708	2500.000005	Minor	Good_deeds	45	You have stopped using plastics completely	C2_13	0.0	Hard	I2_46	24	Nanyang Technological University is in Australia	0.833333333333333	No	LEFT	335.14930000001186	LEFT	940.0647999999592	LEFT	1148.715100000004	LEFT	2112.4624000000267	10.4	0.8	Probable_Lie	LEFT	LEFT	6	983.1781361683892	1	2020-03-09 14:01:07.018309
4	Self	S200309	0.5	1	2	2	1	0.5	1500.000003	1283.3333359	2500.000005	2350.0000047	Minor	Good_deeds	48	You have violated a traffic law	C2_45	0.0	Hard	I2_55	2	Mexico's National Day is September 16	0.0	Yes	RIGHT	310.9869999999546	LEFT	628.1007999999701	RIGHT	1924.072199999955	LEFT	976.6588999999612	9.9	0.5	Probable_Lie	LEFT	LEFT	5	1128.243399999974	2	2020-03-09 14:01:32.194896
33	Self	S200309	0.8333333333333334	1	2	1	2	0.7	1500.000003	1150.0000023	1650.0000033	1783.3333369	Minor	Wrong_doings	25	You have engaged in money laundering	C2_40	1.0	Easy	I2_41	29	Summer is hotter than winter	1.0	Yes	RIGHT	320.2761000000009	RIGHT	519.6836000000076	RIGHT	1079.695899999933	LEFT	1074.3826000000354	10.6	0.7	Probable_Truth	LEFT	LEFT	1	741.4880000000039	3	2020-03-09 14:01:54.585012
8	Self	S200309	0.5	2	1	1	2	0.7	1350.0000027	1500.000003	1783.3333369	1783.3333369	Minor	Wrong_doings	33	You have let a homeless man into your house	C2_53	0.9	Hard	I2_48	3	Beer is an alcoholic drink	1.0	Yes	RIGHT	472.8177000000642	RIGHT	448.1464000000415	RIGHT	1103.6604999999329	LEFT	1777.8558999999632	11.3	0.7	Probable_Truth	RIGHT	RIGHT	6	646.4666999999054	4	2020-03-09 14:02:18.025007
88	Self	S200309	0.8333333333333334	2	1	1	2	0.1	1500.000003	1283.3333359	2066.6666708	1933.3333372	Minor	Wrong_doings	3	You have given way to the handicapped	C1_36	0.95	Hard	I1_35	23	Kangaroos live in Africa	0.666666666666667	Yes	RIGHT	749.7411000000511	LEFT	864.3283999999767	RIGHT	1087.7882999999429	RIGHT	1085.0484999999708	11.2	0.1	Probable_Lie	RIGHT	RIGHT	1	682.2644999999739	5	2020-03-09 14:02:41.849818
65	Self	S200309	0.6666666666666666	1	2	1	2	0.2	1000.000002	1150.0000023	1783.3333369	2500.000005	Minor	Wrong_doings	11	You have claimed doing things that you never did	C2_9	0.95	Hard	I2_56	56	There is typically 0.6 grams of mercury in glass thermometer	0.0	No	RIGHT	319.2444000000023	LEFT	544.4762999999284	RIGHT	2615.70740000002	LEFT	1700.4320999999436	11.0	0.2	Probable_Lie	RIGHT	RIGHT	2	932.372999999984	6	2020-03-09 14:03:06.970894
134	Computer	S200309	0.8333333333333334	1	2	2	1	0.3	1066.6666688	1150.0000023	2500.000005	2350.0000047	Minor	Good_deeds	16	You have participated in a scamming business	C2_25	0.85	Easy	I1_45	28	Christmas Day is in March	1.0	No	LEFT	687.5797000000148	LEFT	932.1115000000192	LEFT	1305.6199999999762	LEFT	1126.701300000036	11.0	0.3	Probable_Lie	RIGHT	LEFT	5	648.1883553410704	7	2020-03-09 14:03:31.313694
73	Self	S200309	0.6666666666666666	2	1	1	2	0.5	1283.3333359	1500.000003	2216.6666711000003	2066.6666708	Minor	Good_deeds	23	You have made counterfeit money	C2_31	0.1	Hard	I2_34	37	Pyramid of Giza is 468 feet tall	0.833333333333333	Yes	RIGHT	1345.4147999999575	RIGHT	535.9624000000167	LEFT	928.3334000000424	LEFT	942.1672999999372	11.5	0.5	Probable_Truth	RIGHT	RIGHT	4	931.774500000074	8	2020-03-09 14:03:55.634123
130	Computer	S200309	0.8333333333333334	1	2	1	2	0.5	1433.3333362	1350.0000027	2066.6666708	2216.6666711000003	Minor	Good_deeds	58	You have made someone cry	C2_10	0.95	Hard	I1_28	43	Cleopatra was born in Greece	0.722222222222222	Yes	LEFT	288.4629000000132	LEFT	918.1897000000844	RIGHT	1366.9724999999744	LEFT	801.1218000000326	11.5	0.5	Probable_Lie	RIGHT	LEFT	4	727.8079667002887	9	2020-03-09 14:04:19.379653
