"Participant"	"Task"	"Stimulus_Side"	"Response"	"RT"	"ITI"	"Previous_Response"	"Previous_RT"	"Stop_Signal"	"Stop_Signal_RT"	"Conflict"	"Cue_Response"	"Cue_Response_RT"	"Trial_Onset"	"Trial_End"	"Trial_Order"	"Duration"
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	611.409399999957	1250.0000025	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:54:34.588164"	"2021-02-15 13:54:35.407991"	1	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	494.649299999992	1150.0000023	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:54:36.576533"	"2021-02-15 13:54:37.279509"	2	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	931.313799999998	833.333335	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:54:38.131826"	"2021-02-15 13:54:39.271199"	3	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	478.542300000072	1366.6666694	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:54:40.657449"	"2021-02-15 13:54:41.342615"	4	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	775.436100000093	750.0000015	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:54:42.111692"	"2021-02-15 13:54:43.094703"	5	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	575.69890000002	783.3333349	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:54:43.895714"	"2021-02-15 13:54:44.679857"	6	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	578.7239	1033.3333354	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:54:45.732948"	"2021-02-15 13:54:46.521136"	7	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	627.986000000078	583.3333345	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:54:47.123671"	"2021-02-15 13:54:47.960113"	8	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	571.607399999948	1000.000002	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:54:48.980170"	"2021-02-15 13:54:49.760267"	9	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	438.56679999999	1383.3333361	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:54:51.162709"	"2021-02-15 13:54:51.808932"	10	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	527.072799999928	716.6666681	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:54:52.544964"	"2021-02-15 13:54:53.279905"	11	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	552.003000000013	683.3333347	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:54:53.983299"	"2021-02-15 13:54:54.743999"	12	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	494.811799999979	1350.0000027	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:54:56.112756"	"2021-02-15 13:54:56.814708"	13	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	554.056500000002	533.3333344	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:54:57.365975"	"2021-02-15 13:54:58.128294"	14	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	417.170299999952	1083.3333355	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:54:59.230546"	"2021-02-15 13:54:59.856084"	15	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	422.66189999998	1316.6666693	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:55:01.192684"	"2021-02-15 13:55:01.824095"	16	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	647.25640000006	916.6666685	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:55:02.760136"	"2021-02-15 13:55:03.615836"	17	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	398.090300000035	966.6666686	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:55:04.601724"	"2021-02-15 13:55:05.207642"	18	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	543.065599999977	583.3333345	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:55:05.808224"	"2021-02-15 13:55:06.559382"	19	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	470.755199999985	1366.6666694	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:55:07.945108"	"2021-02-15 13:55:08.623676"	20	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	530.874799999992	1450.0000029	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:55:10.092383"	"2021-02-15 13:55:10.830377"	21	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	520.332400000029	700.0000014	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:55:11.551558"	"2021-02-15 13:55:12.280187"	22	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	431.28999999999	1100.0000022	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:55:13.400710"	"2021-02-15 13:55:14.040064"	23	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	535.485700000095	533.3333344	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:55:14.591747"	"2021-02-15 13:55:15.336260"	24	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	527.004599999941	733.3333348	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:55:16.088444"	"2021-02-15 13:55:16.824305"	25	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	487.388599999917	1083.3333355	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:55:17.928533"	"2021-02-15 13:55:18.624104"	26	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	438.299500000085	950.0000019	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:55:19.593542"	"2021-02-15 13:55:20.239875"	27	6.15933533333333
"S210215"	"Conflict_Resolution"	"LEFT"	"LEFT"	420.338400000105	1416.6666695	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-02-15 13:55:21.675543"	"2021-02-15 13:55:22.303777"	28	6.15933533333333
"S210215"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	520.837799999981	883.3333351	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-02-15 13:55:23.206990"	"2021-02-15 13:55:23.936052"	29	6.15933533333333
