index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
94	Self	S210118	0.8333333333333334	2	1	2	1	0.4	1500.000003	1150.0000023	1783.3333369	1650.0000033	Minor	Good_deeds	7	You have borrowed things and never returned	C2_29	0.65	Hard	I2_12	48	Lehman Brothers went bankrupt on 20th September	0.611111111111111	Yes	RIGHT	852.7401999999711	RIGHT	678.8842999999929	RIGHT	1797.3038000000088	LEFT	1582.542500000045	10.4	0.4	Probable_Truth	LEFT	LEFT	1	868.1411000000026	0	2021-01-18 14:09:50.380194
21	Self	S210118	0.6666666666666666	1	2	2	1	0.6	1283.3333359	1433.3333362	1500.000003	1783.3333369	Minor	Wrong_doings	3	You have illegally stayed in a country	C2_38	0.85	Easy	I2_58	40	The sun rises at night	0.722222222222222	Yes	RIGHT	502.7359000000047	RIGHT	647.8021000000354	LEFT	1322.837300000003	LEFT	1661.7879000000355	11.0	0.6	Probable_Lie	LEFT	LEFT	3	933.7984000000006	1	2021-01-18 14:10:14.043498
11	Self	S210118	0.5	2	1	1	2	0.4	1500.000003	1283.3333359	1650.0000033	2350.0000047	Major	Good_deeds	51	You have told someone's secret to others	C1_27	0.95	Easy	I1_21	43	Carnivore refers to meat-eater	0.0	No	RIGHT	1448.2504000000065	LEFT	752.3906000000125	RIGHT	2182.829900000001	RIGHT	2308.5037999999827	10.6	0.4	Probable_Lie	LEFT	LEFT	6	1315.6313000000068	2	2021-01-18 14:10:41.427380
41	Self	S210118	0.8333333333333334	2	1	1	2	0.5	1433.3333362	1000.000002	1650.0000033	2350.0000047	Minor	Good_deeds	31	You have blackmailed others for money	C1_49	0.95	Hard	I2_41	57	Septicemia is a lung infection condition	0.944444444444444	Yes	RIGHT	1192.645299999981	RIGHT	742.4805999999649	RIGHT	2957.5336000000334	LEFT	1317.3327000000086	11.1	0.5	Probable_Lie	LEFT	LEFT	3	769.7720999999547	3	2021-01-18 14:11:07.444736
76	Self	S210118	0.6666666666666666	2	1	2	1	0.6	1350.0000027	1216.6666691	1933.3333372	2350.0000047	Minor	Good_deeds	1	You have taken part in violent demonstration	C2_46	0.45	Easy	I1_19	44	French is Singapore's official language	0.777777777777778	Yes	RIGHT	927.662899999973	LEFT	711.1982000000125	LEFT	1508.984600000019	LEFT	1212.7917000000252	10.5	0.6	Probable_Lie	RIGHT	RIGHT	2	784.3901999999616	4	2021-01-18 14:11:32.036445
46	Self	S210118	0.8333333333333334	2	1	2	1	0.3	1066.6666688	1350.0000027	2500.000005	1783.3333369	Minor	Good_deeds	60	You have engaged in drink-driving	C2_31	0.65	Hard	I2_59	5	The hyoid bone is the only jointless bone	0.888888888888889	No	RIGHT	536.486200000013	RIGHT	479.2915999998968	RIGHT	2508.427299999994	LEFT	1286.4722000000484	10.8	0.3	Probable_Truth	RIGHT	RIGHT	2	697.7034999999887	5	2021-01-18 14:11:56.835455
45	Self	S210118	0.8333333333333334	2	1	2	1	0.2	1500.000003	1283.3333359	1783.3333369	1500.000003	Major	Wrong_doings	23	You have stopped using plastics completely	C1_53	0.0	Easy	I1_8	41	The Amazon forest covers an area of 1 billion acres	0.0	No	RIGHT	627.3793000000296	RIGHT	518.0626999999731	LEFT	2735.0772999999435	LEFT	3198.154599999953	11.0	0.2	Probable_Truth	RIGHT	RIGHT	6	758.0040999999937	6	2021-01-18 14:12:23.330171
141	Computer	S210118	0.8333333333333334	2	1	2	1	0.1	1150.0000023	1000.000002	1783.3333369	2500.000005	Major	Wrong_doings	23	You have stopped using plastics completely	C1_53	0.0	Easy	I1_8	41	The Amazon forest covers an area of 1 billion acres	0.0	No	LEFT	815.8544000000347	LEFT	1270.40379999994	LEFT	2728.1723000000966	LEFT	1486.2359999999626	11.0	0.1	Probable_Lie	LEFT	RIGHT	1	513.7632412623386	7	2021-01-18 14:12:49.171982
114	Computer	S210118	0.6666666666666666	1	2	1	2	0.7	1283.3333359	1150.0000023	1500.000003	1933.3333372	Major	Wrong_doings	28	You have adopted a zero-waste lifestyle	C2_54	0.05	Easy	I1_9	4	Pyramid of Giza is 468 feet tall	0.0	No	LEFT	879.7447000000602	LEFT	1120.4556999999795	RIGHT	1549.4994000000588	LEFT	2317.443099999992	11.0	0.7	Probable_Lie	RIGHT	LEFT	4	685.4688484616893	8	2021-01-18 14:13:14.179106
10	Self	S210118	0.5	2	1	1	2	0.1	1066.6666688	1150.0000023	1933.3333372	1500.000003	Minor	Wrong_doings	27	You have participated in a scamming business	C1_12	0.0	Hard	I1_48	4	R. Amundsen discovered the South Pole	0.611111111111111	Yes	RIGHT	822.1754999999575	RIGHT	469.47320000003856	RIGHT	3079.003700000044	LEFT	1333.3427999999683	11.1	0.1	Probable_Truth	RIGHT	LEFT	2	1211.6475000000264	9	2021-01-18 14:13:39.347140
