index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Answer_Self	Answer_Self_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
93	Self	S200122	0.8333333333333334	2	1	2	1	0.5	1433.3333362	1000.000002	1933.3333372	2500.000005	Major	Good_deeds	11	You have cheated on a test	C2_11	0.7	Easy	I2_18	27	The current century is 21st	0.0	No	RIGHT	1117.0849999999746	LEFT	943.8883999999916	RIGHT	2663.6470000000827	LEFT	2175.9832000000188	9.5	0.5	Probable_Lie	RIGHT	RIGHT	1	1323.2560999999805	0	2020-01-22 11:21:41.992942
111	Computer	S200122	0.5	2	1	2	1	0.3	1216.6666691	1150.0000023	1500.000003	2066.6666708	Major	Good_deeds	37	You have illegally stayed in a country	C1_34	0.05	Hard	I2_36	53	Singapore has four seasons	0.944444444444444	Yes	LEFT	1070.2944000000798	LEFT	1912.3019999999544	LEFT	1576.2651000000003	LEFT	1720.2444000000696	9.5	0.3	Probable_Lie	LEFT	LEFT	5	900.9473216197888	1	2020-01-22 11:22:07.671613
45	Self	S200122	0.8333333333333334	2	1	2	1	0.1	1000.000002	1150.0000023	1933.3333372	1783.3333369	Minor	Good_deeds	43	You have bribed a police officer	C2_14	0.0	Easy	I2_3	17	Singapore is a poor country	0.888888888888889	Yes	RIGHT	996.9623000000638	RIGHT	720.8874000000378	LEFT	1315.1625000000422	LEFT	1118.938700000058	9.6	0.1	Probable_Lie	LEFT	LEFT	4	1058.1039999999575	2	2020-01-22 11:22:31.320008
90	Self	S200122	0.8333333333333334	2	1	1	2	0.2	1283.3333359	1066.6666688	1650.0000033	1500.000003	Major	Good_deeds	6	You have coveted things that belong to others	C2_54	0.2	Easy	I1_27	43	It sometimes snows in Singapore	0.0	Yes	RIGHT	839.8280000000113	RIGHT	681.1908999999332	LEFT	2095.965500000034	LEFT	2366.9575000000123	9.8	0.2	Probable_Truth	LEFT	LEFT	1	1074.9486999999365	3	2020-01-22 11:22:56.447851
36	Self	S200122	0.8333333333333334	1	2	2	1	0.7	1283.3333359	1433.3333362	2350.0000047	1500.000003	Major	Good_deeds	5	You have stopped using plastics completely	C1_5	1.0	Easy	I2_22	4	A triangle has three sides	0.888888888888889	Yes	RIGHT	1439.874400000008	LEFT	2026.877200000058	RIGHT	1630.670499999951	LEFT	1806.9782000000032	9.1	0.7	Probable_Lie	RIGHT	RIGHT	1	1420.84890000001	4	2020-01-22 11:23:23.913492
141	Computer	S200122	0.8333333333333334	2	1	2	1	0.6	1500.000003	1433.3333362	1933.3333372	2216.6666711000003	Minor	Good_deeds	43	You have bribed a police officer	C2_14	0.0	Easy	I2_3	17	Singapore is a poor country	0.888888888888889	Yes	LEFT	1298.6011000000417	LEFT	1273.409700000002	LEFT	1017.8128000000016	LEFT	823.9541000000372	9.1	0.6	Probable_Lie	RIGHT	RIGHT	1	892.5677643934191	5	2020-01-22 11:23:48.872161
60	Self	S200122	0.5	2	1	2	1	0.6	1350.0000027	1066.6666688	1650.0000033	1933.3333372	Major	Wrong_doings	39	You have helped a friend in need	C1_13	0.7	Easy	I2_59	44	There are 20 bones in the human skull	0.833333333333333	No	RIGHT	807.8156999999919	RIGHT	687.7331000000595	LEFT	1756.1922999999524	RIGHT	1061.995300000035	9.7	0.6	Probable_Truth	LEFT	LEFT	3	1226.2120000000325	6	2020-01-22 11:24:12.984366
136	Computer	S200122	0.8333333333333334	2	1	1	2	0.8	1216.6666691	1000.000002	1500.000003	1650.0000033	Major	Wrong_doings	7	You have donated a pay cheque to charity	C2_43	0.0	Easy	I2_35	40	Lehman Brothers went bankrupt on 20th September	0.833333333333333	No	LEFT	894.4349000000784	RIGHT	919.799600000033	LEFT	2742.979799999944	LEFT	2646.4416999999685	9.7	0.8	Probable_Lie	LEFT	RIGHT	1	995.7759441362828	7	2020-01-22 11:24:39.128683
122	Computer	S200122	0.6666666666666666	2	1	1	2	0.8	1150.0000023	1150.0000023	2066.6666708	1933.3333372	Major	Wrong_doings	23	You have taken part in violent demonstration	C1_23	0.85	Hard	I1_48	28	There are 6 million animal species on Earth	0.888888888888889	No	LEFT	1201.7627999999831	RIGHT	608.7248999999701	LEFT	2719.55539999999	LEFT	1436.9804000000386	9.7	0.8	Probable_Lie	RIGHT	RIGHT	1	736.0972801689475	8	2020-01-22 11:25:04.696667
10	Self	S200122	0.5	2	1	1	2	0.7	1433.3333362	1500.000003	2350.0000047	1933.3333372	Minor	Good_deeds	56	You have switched off appliances when not in use	C1_20	0.55	Easy	I1_19	36	Beer is an alcoholic drink	0.0	No	RIGHT	847.7321999999958	RIGHT	623.9620999999715	RIGHT	1789.494999999988	Time_Max_Exceeded	5000.144300000102	10.4	0.7	Probable_Truth	RIGHT	LEFT	1	1318.71000000001	9	2020-01-22 11:25:34.064070
19	Self	S200122	0.6666666666666666	1	2	1	2	0.2	1433.3333362	1433.3333362	2066.6666708	1933.3333372	Major	Good_deeds	1	You have kidnapped someone	C2_28	0.0	Hard	I2_39	16	Saturn's rings are between 30 and 300 feet thick	0.722222222222222	Yes	RIGHT	1096.8163000000004	RIGHT	734.7121999999899	LEFT	1895.924199999968	LEFT	949.7941999999284	10.599999999999998	0.2	Probable_Truth	LEFT	LEFT	2	1095.7125000001042	10	2020-01-22 11:25:59.273269
143	Computer	S200122	0.8333333333333334	2	1	2	1	0.5	1066.6666688	1066.6666688	2216.6666711000003	1933.3333372	Major	Wrong_doings	12	You have let a homeless man into your house	C2_35	0.95	Hard	I1_40	43	Mozambique is the world's poorest country	0.0555555555555556	No	RIGHT	938.7115000000676	RIGHT	1088.294200000064	LEFT	2174.4458000000577	LEFT	2007.3588999999856	11.099999999999998	0.5	Probable_Lie	RIGHT	LEFT	6	504.8405422329414	11	2020-01-22 11:26:24.832693
43	Self	S200122	0.8333333333333334	2	1	1	2	0.5	1150.0000023	1216.6666691	1650.0000033	1650.0000033	Minor	Wrong_doings	14	You have held the elevator doors for others	C1_11	0.65	Hard	I2_53	35	The first Olympic Games was held in the 5th century B.C	0.0	Yes	RIGHT	1679.4274999999743	LEFT	727.9749000000493	LEFT	1528.537099999994	RIGHT	2174.548299999969	10.599999999999998	0.5	Probable_Lie	RIGHT	LEFT	6	1538.1903999999622	12	2020-01-22 11:26:50.720260
85	Self	S200122	0.8333333333333334	1	2	2	1	0.5	1500.000003	1433.3333362	2066.6666708	2066.6666708	Major	Wrong_doings	18	You have adopted a zero-waste lifestyle	C1_30	0.0	Hard	I2_1	24	Chickens lay eggs	0.0	Yes	RIGHT	704.3188999999757	RIGHT	654.8360000000457	RIGHT	1085.856700000022	LEFT	1695.7691999999724	11.099999999999998	0.5	Probable_Truth	LEFT	LEFT	1	891.7741000000206	13	2020-01-22 11:27:15.392715
108	Computer	S200122	0.5	2	1	2	1	0.7	1433.3333362	1000.000002	2216.6666711000003	2216.6666711000003	Minor	Wrong_doings	2	You have gossiped about your best friend	C2_27	0.85	Hard	I1_53	38	China is a part of Asia	0.111111111111111	Yes	LEFT	764.9794999999813	LEFT	863.687999999911	RIGHT	1440.8862999999883	RIGHT	1758.5572000000411	11.099999999999998	0.7	Probable_Lie	LEFT	LEFT	5	747.4487309576698	14	2020-01-22 11:27:40.409247
87	Self	S200122	0.8333333333333334	1	2	2	1	0.6	1283.3333359	1000.000002	1783.3333369	2500.000005	Major	Good_deeds	46	You have lied to your parents	C1_50	1.0	Hard	I2_24	4	Kangaroos live in Africa	0.722222222222222	No	RIGHT	480.84510000001046	RIGHT	906.6397999999936	LEFT	1949.6736999999484	LEFT	1192.165799999998	11.699999999999998	0.6	Probable_Truth	LEFT	LEFT	1	1005.9703000000582	15	2020-01-22 11:28:05.080579
110	Computer	S200122	0.5	2	1	2	1	0.1	1000.000002	1283.3333359	1650.0000033	2350.0000047	Major	Good_deeds	34	You have signed up as a bone marrow donor	C1_24	0.1	Hard	I1_36	6	Cheese is an Asian staple	0.0	No	LEFT	695.9795999999869	LEFT	537.0935000000827	LEFT	1626.592999999957	LEFT	1495.2163000000382	11.699999999999998	0.1	Probable_Truth	RIGHT	RIGHT	4	605.2381340416739	16	2020-01-22 11:28:28.888373
52	Self	S200122	0.5	1	2	2	1	0.6	1433.3333362	1000.000002	1783.3333369	2066.6666708	Minor	Wrong_doings	25	You have sheltered others from disasters	C2_42	1.0	Hard	I1_46	21	The Moon orbits around the Earth	0.666666666666667	Yes	LEFT	832.945499999937	LEFT	1162.5951000000896	RIGHT	2951.204500000017	LEFT	2063.448499999936	11.699999999999998	0.6	Probable_Lie	RIGHT	LEFT	4	951.851300000044	17	2020-01-22 11:28:55.705160
51	Self	S200122	0.5	1	2	1	2	0.5	1150.0000023	1500.000003	2350.0000047	1650.0000033	Major	Good_deeds	28	You have eaten something in the MRT train	C2_25	0.15	Easy	I1_1	31	Today is Sunday	0.0	No	RIGHT	639.3663999999717	LEFT	1115.7316000000037	LEFT	1607.6815000000124	RIGHT	2087.455399999953	11.199999999999998	0.5	Probable_Lie	LEFT	LEFT	5	1085.9815000000026	18	2020-01-22 11:29:21.464194
14	Self	S200122	0.5	2	1	2	1	0.3	1350.0000027	1000.000002	1783.3333369	2350.0000047	Major	Good_deeds	34	You have signed up as a bone marrow donor	C1_24	0.1	Hard	I1_36	6	Cheese is an Asian staple	0.0	No	RIGHT	1050.6995999999162	RIGHT	736.2611000000925	LEFT	1575.9001999999782	LEFT	976.1363999998592	11.499999999999998	0.3	Probable_Truth	RIGHT	LEFT	3	822.5751999999602	19	2020-01-22 11:29:45.680718
109	Computer	S200122	0.5	2	1	2	1	0.5	1500.000003	1066.6666688	2350.0000047	1783.3333369	Major	Wrong_doings	52	You have donated blood every 6 months for many years	C2_56	0.0	Easy	I1_6	49	Africa is the continent with the least rainfall	0.611111111111111	No	LEFT	1729.2777000000117	LEFT	751.7104000000927	LEFT	2642.712600000096	LEFT	2007.454800000005	11.499999999999998	0.5	Probable_Truth	RIGHT	RIGHT	5	912.2019373268654	20	2020-01-22 11:30:13.000600
29	Self	S200122	0.6666666666666666	2	1	2	1	0.6	1000.000002	1150.0000023	1933.3333372	1500.000003	Minor	Wrong_doings	6	You have risked your life to save another person's life	C1_47	0.05	Hard	I2_30	25	The human's inner ear is larger than a pencil eraser	0.0	Yes	RIGHT	1068.2985000000826	LEFT	550.0403000000915	LEFT	2623.280600000044	RIGHT	1560.0440999999137	10.9	0.6	Probable_Lie	RIGHT	RIGHT	2	1539.3741000000318	21	2020-01-22 11:30:38.498409
59	Self	S200122	0.5	2	1	1	2	0.3	1066.6666688	1350.0000027	1933.3333372	2500.000005	Minor	Good_deeds	36	You have started a movement to support a cause	C2_16	1.0	Hard	I2_52	50	A dog has four legs	0.764705882352941	Yes	RIGHT	1467.894599999909	LEFT	1008.1195999998728	RIGHT	952.1597999998904	LEFT	2766.05799999993	10.599999999999998	0.3	Probable_Lie	LEFT	LEFT	4	950.9176999999908	22	2020-01-22 11:31:05.066149
135	Computer	S200122	0.8333333333333334	1	2	2	1	0.2	1500.000003	1150.0000023	1500.000003	2066.6666708	Major	Good_deeds	60	You have taken months off to volunteer	C1_49	0.05	Hard	I2_51	14	A square has 3 corners	0.0	No	LEFT	568.9540999999281	RIGHT	1053.5667999999987	LEFT	1503.2375000000684	RIGHT	1392.193700000007	10.599999999999998	0.2	Probable_Lie	RIGHT	LEFT	2	709.8779622005803	23	2020-01-22 11:31:29.088606
81	Self	S200122	0.8333333333333334	1	2	1	2	0.1	1216.6666691	1283.3333359	2350.0000047	1500.000003	Minor	Wrong_doings	30	You have participated in a scamming business	C1_40	0.05	Easy	I2_58	58	Cleopatra was born in Greece	0.888888888888889	No	RIGHT	456.8848000001253	RIGHT	650.8923999999752	LEFT	1375.5978000001503	LEFT	2126.036799999838	10.699999999999998	0.1	Probable_Truth	LEFT	LEFT	1	1126.609099999996	24	2020-01-22 11:31:53.745572
100	Computer	S200122	0.5	1	2	2	1	0.1	1350.0000027	1000.000002	2350.0000047	1650.0000033	Minor	Good_deeds	19	You have fabricated facts about yourself	C1_60	0.5	Easy	I2_23	42	Cernan was the second last man to walk on the Moon	0.833333333333333	Yes	LEFT	615.92399999995	RIGHT	731.2938999998551	LEFT	2038.8209999998708	LEFT	1327.905699999974	10.699999999999998	0.1	Probable_Lie	LEFT	RIGHT	2	790.1428255806126	25	2020-01-22 11:32:18.160935
47	Self	S200122	0.8333333333333334	2	1	2	1	0.8	1216.6666691	1433.3333362	2500.000005	2216.6666711000003	Major	Wrong_doings	12	You have let a homeless man into your house	C2_35	0.95	Hard	I1_40	43	Mozambique is the world's poorest country	0.0555555555555556	No	RIGHT	773.048000000017	RIGHT	504.7669000000497	LEFT	1713.567699999885	LEFT	1377.0373999998355	11.499999999999998	0.8	Probable_Truth	LEFT	LEFT	1	951.766500000076	26	2020-01-22 11:32:43.418043
49	Self	S200122	0.5	1	2	1	2	0.3	1000.000002	1066.6666688	1650.0000033	2500.000005	Major	Wrong_doings	53	You have said thank you when you have received help	C2_33	0.0	Hard	I2_21	40	Bears have the biggest eyes among mammals	0.944444444444444	Yes	RIGHT	1265.4351999999562	LEFT	1886.5713000000144	RIGHT	2551.6176000001	RIGHT	1853.159900000037	11.199999999999998	0.3	Probable_Lie	RIGHT	LEFT	5	790.0656000001618	27	2020-01-22 11:33:10.553178
27	Self	S200122	0.6666666666666666	2	1	1	2	0.1	1150.0000023	1500.000003	2500.000005	2066.6666708	Major	Good_deeds	44	You have thrown your trash into the bin	C1_44	0.0	Easy	I1_28	42	North Korea is more developed than South Korea	0.0555555555555556	No	RIGHT	685.245200000054	RIGHT	481.0328999999456	LEFT	1983.3636000000752	RIGHT	1407.4582000000646	11.299999999999995	0.1	Probable_Truth	RIGHT	RIGHT	4	1528.7496000000829	28	2020-01-22 11:33:36.424552
112	Computer	S200122	0.6666666666666666	1	2	1	2	0.3	1433.3333362	1216.6666691	1650.0000033	2350.0000047	Major	Wrong_doings	58	You have volunteered for a disaster-related humanitarian mission	C2_57	0.05	Hard	I1_12	26	Most plants emit oxygen in the day	1.0	No	LEFT	776.5727000000879	RIGHT	764.7193000000243	RIGHT	1366.5315999999166	LEFT	3172.7163999998997	11.299999999999995	0.3	Probable_Lie	RIGHT	RIGHT	1	770.8407826182583	29	2020-01-22 11:34:02.489140
34	Self	S200122	0.8333333333333334	1	2	1	2	0.8	1000.000002	1150.0000023	1933.3333372	2350.0000047	Minor	Wrong_doings	24	You have queued to enter the MRT train	C2_60	0.0	Easy	I1_41	41	The Earth turns the closest to the sun in May	0.0	Yes	RIGHT	600.2083000000766	RIGHT	733.5689999999886	LEFT	2287.639899999931	RIGHT	1226.8421999999646	12.099999999999998	0.8	Probable_Truth	RIGHT	RIGHT	5	915.7864000001156	30	2020-01-22 11:34:27.257436
