index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
64	Self	S200120	0.6666666666666666	1	2	1	2	0.3	1283.3333359	1150.0000023	1783.3333369	2216.6666711000003	Major	Good_deeds	2	You have gossiped about your best friend	C1_13	0.15	Easy	I2_51	46	There are 6000 spoken languages in the World	0.0	No	LEFT	715.7644000000118	RIGHT	553.083700000002	LEFT	1487.379400000009	RIGHT	2254.9846	9.7	0.3	Probable_Lie	RIGHT	RIGHT	1	807.7906000000326	0	2020-01-20 11:55:08.171860
128	Computer	S200120	0.8333333333333334	1	2	1	2	0.7	1000.000002	1000.000002	1783.3333369	2066.6666708	Minor	Wrong_doings	46	You have queued to enter the MRT train	C1_35	0.0	Easy	I2_3	6	Singapore has four seasons	0.0	Yes	RIGHT	595.8441999999877	LEFT	456.186300000013	RIGHT	1398.1146000000422	LEFT	1241.1596999999688	9.7	0.7	Probable_Truth	LEFT	LEFT	1	846.7555930222354	1	2020-01-20 11:55:31.131626
69	Self	S200120	0.6666666666666666	1	2	2	1	0.2	1216.6666691	1066.6666688	2216.6666711000003	2350.0000047	Major	Wrong_doings	39	You have violated a traffic law	C2_13	0.55	Hard	I2_4	31	Kangaroos live in Africa	0.0555555555555556	No	RIGHT	609.0871000000107	RIGHT	464.61019999998143	LEFT	1056.7712000000142	LEFT	1106.6359999999804	9.9	0.2	Probable_Truth	LEFT	LEFT	1	717.3156999999719	2	2020-01-20 11:55:54.507622
127	Computer	S200120	0.6666666666666666	2	1	2	1	0.5	1283.3333359	1000.000002	1933.3333372	2500.000005	Major	Wrong_doings	44	You have cheated on a test	C1_44	0.15	Hard	I1_3	57	Most plants emit oxygen in the day	0.777777777777778	Yes	LEFT	361.6306999999779	LEFT	822.4255999999741	LEFT	894.684199999972	RIGHT	1844.346299999984	9.9	0.5	Probable_Lie	LEFT	RIGHT	1	589.8912649699707	3	2020-01-20 11:56:18.299690
112	Computer	S200120	0.6666666666666666	1	2	1	2	0.6	1150.0000023	1066.6666688	1783.3333369	2216.6666711000003	Major	Good_deeds	1	You have volunteered for a disaster-related humanitarian mission	C1_27	0.0	Hard	I2_12	35	Cleopatra was born in Greece	0.722222222222222	No	RIGHT	721.8653000000472	LEFT	455.4883000000132	RIGHT	4041.224800000009	LEFT	1695.153399999981	9.9	0.6	Probable_Truth	RIGHT	LEFT	2	524.8981442428876	4	2020-01-20 11:56:44.514449
27	Self	S200120	0.6666666666666666	2	1	1	2	0.1	1066.6666688	1066.6666688	1650.0000033	1650.0000033	Minor	Wrong_doings	37	You have bought cigarettes for a minor	C2_27	0.95	Easy	I2_60	47	The first Olympic Games was held in the 5th century B.C	0.0	No	LEFT	312.54200000000765	RIGHT	936.39619999999	LEFT	1185.8298000000218	LEFT	2398.218400000019	9.8	0.1	Probable_Lie	RIGHT	RIGHT	2	1012.4907000000009	5	2020-01-20 11:57:08.362964
131	Computer	S200120	0.8333333333333334	1	2	1	2	0.8	1066.6666688	1066.6666688	2500.000005	1783.3333369	Major	Good_deeds	60	You have been physically hurt to protect others	C1_11	0.95	Easy	I1_15	3	Mozambique is the world's poorest country	0.0	Yes	RIGHT	597.5122999999485	LEFT	409.04599999998936	RIGHT	2389.710600000001	LEFT	2439.619099999959	9.8	0.8	Probable_Lie	LEFT	LEFT	4	770.4482095418848	6	2020-01-20 11:57:33.955649
104	Computer	S200120	0.5	2	1	1	2	0.5	1150.0000023	1350.0000027	2066.6666708	1500.000003	Minor	Good_deeds	34	You have helped your parents when asked to	C2_57	0.9	Easy	I1_13	60	February has 30 days	0.0	No	RIGHT	559.8492000000306	LEFT	694.3279999999845	RIGHT	2406.8856999999757	LEFT	846.1180999999556	9.8	0.5	Probable_Truth	RIGHT	RIGHT	6	990.4019175960692	7	2020-01-20 11:57:58.082543
122	Computer	S200120	0.6666666666666666	2	1	1	2	0.1	1066.6666688	1216.6666691	1500.000003	1933.3333372	Major	Wrong_doings	27	You have risked your life to save another person's life	C1_24	0.0	Hard	I2_39	25	Astatine is the rarest element in the Earth's crust	0.722222222222222	Yes	LEFT	361.0170000000608	LEFT	920.7984000000806	RIGHT	1901.9398000000365	LEFT	3343.145100000015	9.8	0.1	Probable_Lie	RIGHT	RIGHT	2	986.1484456031168	8	2020-01-20 11:58:23.874124
95	Self	S200120	0.8333333333333334	2	1	2	1	0.6	1350.0000027	1216.6666691	1500.000003	1783.3333369	Minor	Wrong_doings	28	You have thrown your trash into the bin	C2_39	0.1	Easy	I2_31	33	Teddy Roosevelt was the youngest US President	0.0555555555555556	No	RIGHT	295.01110000001063	RIGHT	764.820200000031	RIGHT	935.650799999962	LEFT	1841.89600000002	10.4	0.6	Probable_Truth	LEFT	LEFT	1	754.0465000000722	9	2020-01-20 11:58:46.892016
