"Participant"	"Task"	"Stimulus_Side"	"Response"	"RT"	"ITI"	"Previous_Response"	"Previous_RT"	"Stop_Signal"	"Stop_Signal_RT"	"Conflict"	"Cue_Response"	"Cue_Response_RT"	"Trial_Onset"	"Trial_End"	"Trial_Order"	"Duration"
"S210120"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	1106.88579999999	633.3333346	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-01-20 14:14:14.577198"	"2021-01-20 14:14:15.892693"	1	6.77123323333333
"S210120"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	661.460299999931	1383.3333361	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-01-20 14:14:17.295014"	"2021-01-20 14:14:18.166704"	2	6.77123323333333
"S210120"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	809.446199999911	1050.0000021	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-01-20 14:14:19.236634"	"2021-01-20 14:14:20.254311"	3	6.77123323333333
"S210120"	"Conflict_Resolution"	"LEFT"	"LEFT"	798.646599999984	1500.000003	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-01-20 14:14:21.773447"	"2021-01-20 14:14:22.780969"	4	6.77123323333333
"S210120"	"Conflict_Resolution"	"LEFT"	"LEFT"	756.131900000014	966.6666686	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-01-20 14:14:23.768628"	"2021-01-20 14:14:24.732141"	5	6.77123323333333
"S210120"	"Conflict_Resolution"	"LEFT"	"LEFT"	1333.36970000005	583.3333345	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-01-20 14:14:25.335727"	"2021-01-20 14:14:26.875804"	6	6.77123323333333
"S210120"	"Conflict_Resolution"	"LEFT"	"LEFT"	843.591700000047	1450.0000029	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-01-20 14:14:28.344512"	"2021-01-20 14:14:29.397042"	7	6.77123323333333
"S210120"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	481.669900000043	1483.3333363	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-01-20 14:14:30.898737"	"2021-01-20 14:14:31.588171"	8	6.77123323333333
"S210120"	"Conflict_Resolution"	"LEFT"	"LEFT"	975.747800000022	916.6666685	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-01-20 14:14:32.524995"	"2021-01-20 14:14:33.708234"	9	6.77123323333333
"S210120"	"Conflict_Resolution"	"LEFT"	"LEFT"	560.409100000015	1500.000003	n/a	n/a	n/a	n/a	"True"	n/a	n/a	"2021-01-20 14:14:35.227444"	"2021-01-20 14:14:35.997398"	10	6.77123323333333
"S210120"	"Conflict_Resolution"	"RIGHT"	"RIGHT"	618.337300000007	1416.6666695	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-01-20 14:14:37.433822"	"2021-01-20 14:14:38.260294"	11	6.77123323333333
"S210120"	"Conflict_Resolution"	"LEFT"	"LEFT"	825.70469999996	1016.6666687	n/a	n/a	n/a	n/a	"False"	n/a	n/a	"2021-01-20 14:14:39.298645"	"2021-01-20 14:14:40.331873"	12	6.77123323333333
