index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
72	Self	S201118	0.6666666666666666	2	1	1	2	0.4	1433.3333362	1433.3333362	2066.6666708	1500.000003	Minor	Good_deeds	16	You have engaged in money laundering	C2_60	0.85	Easy	I2_13	28	Cheese is an Asian staple	0.833333333333333	Yes	RIGHT	646.699099999978	RIGHT	424.42360000001145	LEFT	966.0478999999782	LEFT	1568.4056000000055	10.4	0.4	Probable_Truth	LEFT	LEFT	2	559.2234999999732	0	2020-11-18 14:13:20.019962
8	Self	S201118	0.5	2	1	1	2	0.3	1216.6666691	1500.000003	2350.0000047	2066.6666708	Major	Good_deeds	58	You have cursed at others	C1_14	0.1	Hard	I1_38	27	Dutch is the 6th Europe's most widely spoken language	0.888888888888889	No	RIGHT	595.602499999984	LEFT	592.2694000000206	LEFT	769.2954000000327	LEFT	1766.447600000049	10.1	0.3	Probable_Lie	LEFT	LEFT	4	951.9741999999952	1	2020-11-18 14:13:44.403823
59	Self	S201118	0.5	2	1	1	2	0.4	1500.000003	1500.000003	2350.0000047	1783.3333369	Minor	Good_deeds	5	You have donated a pay cheque to charity	C1_31	0.9	Easy	I2_22	2	The sun rises at night	0.666666666666667	Yes	RIGHT	579.4276999999965	RIGHT	391.4077999999108	RIGHT	1850.001299999917	LEFT	1040.3407000000016	10.5	0.4	Probable_Truth	RIGHT	RIGHT	5	1872.054300000002	2	2020-11-18 14:14:09.844115
135	Computer	S201118	0.8333333333333334	1	2	2	1	0.4	1500.000003	1283.3333359	1650.0000033	1650.0000033	Major	Good_deeds	37	You have donated blood every 6 months for many years	C2_3	0.0	Hard	I1_44	23	Malay is one of the races in Singapore	0.0	No	LEFT	584.7869000000401	LEFT	798.4519000000319	RIGHT	2207.936899999936	RIGHT	1145.8314999999857	10.5	0.4	Probable_Lie	RIGHT	RIGHT	1	946.603167939591	3	2020-11-18 14:14:34.179865
33	Self	S201118	0.8333333333333334	1	2	1	2	0.4	1350.0000027	1433.3333362	2500.000005	1933.3333372	Major	Wrong_doings	17	You have bribed someone to improve a grade	C2_47	0.65	Hard	I2_23	44	A dog has four legs	0.833333333333333	Yes	RIGHT	416.1735999999792	RIGHT	804.2006000000583	LEFT	1006.8797999999788	RIGHT	999.5257000000493	10.9	0.4	Probable_Truth	LEFT	LEFT	1	731.4342999999326	4	2020-11-18 14:14:57.924001
35	Self	S201118	0.8333333333333334	1	2	1	2	0.3	1216.6666691	1283.3333359	1783.3333369	2500.000005	Minor	Wrong_doings	46	You have started a movement to support a cause	C2_46	0.0	Easy	I1_50	10	Singapore has four seasons	0.611111111111111	No	RIGHT	391.7433000000301	RIGHT	586.7145999999366	RIGHT	2581.423199999904	LEFT	1239.8730999999543	11.2	0.3	Probable_Truth	RIGHT	RIGHT	5	821.3400999999294	5	2020-11-18 14:15:22.900226
133	Computer	S201118	0.8333333333333334	1	2	2	1	0.3	1150.0000023	1150.0000023	2216.6666711000003	1783.3333369	Major	Good_deeds	47	You have followed instructions	C1_37	0.95	Easy	I2_43	43	Fibers in oranges can be used to make fabric	1.0	Yes	LEFT	440.64749999995456	RIGHT	1002.173999999968	RIGHT	1016.0776999999824	LEFT	2945.477799999935	11.2	0.3	Probable_Lie	LEFT	LEFT	2	733.9748193695834	6	2020-11-18 14:15:47.908352
122	Computer	S201118	0.6666666666666666	2	1	1	2	0.3	1150.0000023	1433.3333362	1650.0000033	2500.000005	Minor	Good_deeds	7	You have cursed at your loved ones	C2_2	0.55	Hard	I1_41	41	The Eiffel Tower is in Paris	0.0555555555555556	No	LEFT	736.0582999999679	LEFT	816.1680999999135	LEFT	1237.8311999999596	RIGHT	888.765899999953	11.2	0.3	Probable_Lie	RIGHT	RIGHT	2	501.1475125195562	7	2020-11-18 14:16:11.388453
24	Self	S201118	0.6666666666666666	2	1	1	2	0.8	1433.3333362	1350.0000027	1933.3333372	2350.0000047	Major	Wrong_doings	29	You have attended all lectures as a student	C1_29	0.0	Hard	I1_17	60	It sometimes snows in Singapore	0.0	Yes	RIGHT	780.8018999999149	RIGHT	384.3580999999858	RIGHT	1148.0061999999407	LEFT	904.3940000000248	12.000000000000002	0.8	Probable_Truth	RIGHT	RIGHT	5	737.1507000000292	8	2020-11-18 14:16:34.980563
42	Self	S201118	0.8333333333333334	2	1	1	2	0.2	1216.6666691	1000.000002	1783.3333369	2350.0000047	Minor	Good_deeds	39	You have done something against your values	C2_54	0.85	Hard	I2_31	26	Fishes can swim in water	0.0	No	RIGHT	556.7710999999917	RIGHT	334.3796999999995	LEFT	1365.5151000000387	RIGHT	887.1417999999949	12.2	0.2	Probable_Truth	LEFT	LEFT	1	622.6791000000276	9	2020-11-18 14:16:57.668448
16	Self	S201118	0.6666666666666666	1	2	1	2	0.8	1283.3333359	1500.000003	1500.000003	1500.000003	Major	Wrong_doings	43	You have made someone cry	C2_10	0.05	Easy	I2_17	35	Animals are living things	0.0	No	RIGHT	344.52410000005784	RIGHT	413.3051000000023	LEFT	926.5521999999464	RIGHT	759.999300000004	13.000000000000002	0.8	Probable_Truth	RIGHT	RIGHT	3	681.996799999979	10	2020-11-18 14:17:19.147819
39	Self	S201118	0.8333333333333334	1	2	2	1	0.8	1150.0000023	1000.000002	1933.3333372	2216.6666711000003	Major	Good_deeds	37	You have donated blood every 6 months for many years	C2_3	0.0	Hard	I1_44	23	Malay is one of the races in Singapore	0.0	No	RIGHT	327.9036000000133	RIGHT	620.6882999999834	RIGHT	886.7173999999522	RIGHT	815.9602999999152	13.800000000000002	0.8	Probable_Truth	LEFT	LEFT	1	515.0211999999783	11	2020-11-18 14:17:41.188082
73	Self	S201118	0.6666666666666666	2	1	1	2	0.1	1216.6666691	1066.6666688	1783.3333369	2066.6666708	Major	Good_deeds	52	You have engaged in drink-driving	C2_17	0.8	Easy	I1_53	19	Beef comes from cows	0.0555555555555556	No	RIGHT	483.0008999999791	RIGHT	278.8325000000213	LEFT	912.3789000000216	RIGHT	2016.0108999999693	13.900000000000002	0.1	Probable_Truth	RIGHT	RIGHT	6	725.9795999999596	12	2020-11-18 14:18:04.308929
92	Self	S201118	0.8333333333333334	2	1	2	1	0.8	1433.3333362	1350.0000027	1500.000003	1650.0000033	Minor	Good_deeds	15	You have taken part in violent demonstration	C1_60	0.7	Hard	I2_1	18	"Statue of Liberty is 151 feet tall"	0.0	Yes	RIGHT	526.0362000000214	RIGHT	328.4265999999434	LEFT	1125.9845000000723	RIGHT	2265.13870000008	14.700000000000005	0.8	Probable_Truth	RIGHT	RIGHT	4	685.2044999999407	13	2020-11-18 14:18:27.748060
