index	Trial_Type	Participant_ID	Trial_Probability	Question_Position_Prediction_Correct	Question_Position_Prediction_Agent	Question_Position_Comparison_Self	Question_Position_Comparison_Irrelevant	Trial_Stake	Trial_Stake_Jitter	Trial_Type_Jitter	Trial_Result_Jitter	Balance_Update_Jitter	Question_Comparison_Condition	Question_Comparison_Type	Question_Comparison_Question	Question_Comparison_Label	Question_Comparison_Item	Question_Comparison_Proportion_Yes	Question_Factual_Condition	Question_Factual_Item	Question_Factual_Question	Question_Factual_Label	Question_Factual_Proportion_DontKnow	Question_Factual_Type	Answer_Prediction_Correct	Answer_Prediction_Correct_RT	Answer_Prediction_Agent	Answer_Prediction_Agent_RT	Answer_Self	Answer_Self_RT	Answer_Irrelevant	Answer_Irrelevant_RT	Trial_Balance	Trial_Balance_Effect	Trial_Condition	Trial_ProbableSide	Prediction_Choice	Prediction_Result	Prediction_RT	Trial_Order	Trial_Datetime
64	Self	S210127	0.6666666666666666	1	2	1	2	0.1	1283.3333359	1350.0000027	2500.000005	2350.0000047	Minor	Good_deeds	38	You have engaged in arson	C1_3	0.15	Hard	I2_5	43	Red is a color	0.611111111111111	No	LEFT	724.1014000001087	RIGHT	1087.4165000000175	LEFT	956.11729999996	RIGHT	743.7285000000884	9.9	0.1	Probable_Lie	LEFT	LEFT	5	556.9662999998855	0	2021-01-27 14:40:35.313510
24	Self	S210127	0.6666666666666666	2	1	1	2	0.7	1216.6666691	1216.6666691	1650.0000033	1783.3333369	Minor	Wrong_doings	13	You have extorted money from anyone	C1_45	0.55	Easy	I1_50	58	The Seine river is 50 feet above sea level	0.944444444444444	Yes	RIGHT	528.8015000000996	RIGHT	551.4995999999428	LEFT	692.2739999999976	RIGHT	1262.6763000000665	10.6	0.7	Probable_Truth	RIGHT	RIGHT	4	502.1286999999575	1	2021-01-27 14:40:57.289790
62	Self	S210127	0.5	2	1	2	1	0.5	1150.0000023	1066.6666688	1500.000003	2216.6666711000003	Minor	Good_deeds	19	You have held the elevator doors for others	C2_19	0.55	Easy	I2_34	58	Acoustic Kitty refers to cat with implants	0.833333333333333	Yes	LEFT	704.1890999998941	RIGHT	1284.9862000000485	RIGHT	1279.5799000000443	LEFT	2017.2272999998315	10.1	0.5	Probable_Lie	RIGHT	LEFT	5	996.910799999796	2	2021-01-27 14:41:22.082423
61	Self	S210127	0.5	2	1	2	1	0.4	1350.0000027	1216.6666691	2216.6666711000003	1650.0000033	Minor	Wrong_doings	6	You have cursed at others	C2_35	0.2	Hard	I1_26	56	Marijuana is legal in Singapore	0.0	Yes	RIGHT	312.57000000005064	RIGHT	441.2075999998706	LEFT	711.6203000000496	LEFT	894.839999999931	10.5	0.4	Probable_Truth	LEFT	RIGHT	6	738.0215999999109	3	2021-01-27 14:41:44.186586
86	Self	S210127	0.8333333333333334	1	2	2	1	0.1	1150.0000023	1216.6666691	1500.000003	2500.000005	Minor	Wrong_doings	24	You have bribed a police officer	C2_17	0.95	Hard	I1_10	47	There are 6000 spoken languages in the World	0.0	No	LEFT	1428.676600000017	RIGHT	633.830099999841	LEFT	703.4808999999314	RIGHT	902.6366000000507	10.4	0.1	Probable_Lie	RIGHT	RIGHT	1	794.3801999999778	4	2021-01-27 14:42:07.586427
115	Computer	S210127	0.6666666666666666	1	2	1	2	0.8	1216.6666691	1066.6666688	2350.0000047	1500.000003	Major	Wrong_doings	29	You have organized a violent protest	C2_57	0.0	Hard	I2_36	42	Cernan was the second last man to walk on the Moon	0.611111111111111	Yes	RIGHT	778.6493999999493	RIGHT	240.8910999999989	LEFT	1071.8747000000803	LEFT	1407.4213999999756	11.2	0.8	Probable_Truth	RIGHT	RIGHT	5	667.0397353600827	5	2021-01-27 14:42:30.458077
92	Self	S210127	0.8333333333333334	2	1	2	1	0.4	1350.0000027	1000.000002	1650.0000033	1650.0000033	Minor	Good_deeds	35	You have been physically hurt to protect others	C2_40	0.45	Hard	I2_45	54	Brazil is in South America	0.764705882352941	No	RIGHT	256.9710000000214	RIGHT	400.12000000001535	RIGHT	1367.9334000000836	RIGHT	777.8183999998873	11.6	0.4	Probable_Truth	LEFT	LEFT	1	564.0723999999864	6	2021-01-27 14:42:52.043365
89	Self	S210127	0.8333333333333334	2	1	1	2	0.3	1066.6666688	1150.0000023	2500.000005	2500.000005	Major	Wrong_doings	24	You have started an NGO using your savings	C1_35	0.0	Easy	I1_17	24	Feijoa is a type of grape	0.777777777777778	No	LEFT	328.062300000056	RIGHT	989.5748000001277	LEFT	1645.126399999981	RIGHT	1584.0064999999868	11.3	0.3	Probable_Lie	RIGHT	RIGHT	1	783.737100000053	7	2021-01-27 14:43:17.162488
141	Computer	S210127	0.8333333333333334	2	1	2	1	0.3	1283.3333359	1066.6666688	2350.0000047	1933.3333372	Minor	Good_deeds	3	You have been convicted in court	C1_40	0.05	Easy	I1_31	1	The Earth is round	0.0	No	RIGHT	288.0916999999954	LEFT	905.5045999998584	LEFT	888.6955000000398	RIGHT	800.5131999998412	11.3	0.3	Probable_Truth	LEFT	LEFT	1	951.1401234925512	8	2021-01-27 14:43:40.193751
136	Computer	S210127	0.8333333333333334	2	1	1	2	0.5	1150.0000023	1150.0000023	2500.000005	1783.3333369	Minor	Good_deeds	31	You have said thank you when you have received help	C1_31	1.0	Easy	I2_1	33	Today is Sunday	0.888888888888889	No	RIGHT	319.95849999998427	RIGHT	862.069799999972	RIGHT	978.5577000000104	LEFT	1046.2623000000804	11.8	0.5	Probable_Lie	LEFT	LEFT	2	549.3932291003782	9	2021-01-27 14:44:03.107184
