Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S210316	Conflict_Resolution	LEFT	Time_Max_Exceeded	1500.09669999997	583.3333345	n/a	n/a	2021-03-16 14:17:17.673041	2021-03-16 14:17:19.173767	1	7.06325595	True	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	RIGHT	RIGHT	736.407400000076	700.0000014	n/a	n/a	2021-03-16 14:17:19.893351	2021-03-16 14:17:20.836189	2	7.06325595	False	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	RIGHT	LEFT	1195.02639999996	633.3333346	n/a	n/a	2021-03-16 14:17:21.490148	2021-03-16 14:17:22.892450	3	7.06325595	True	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	LEFT	LEFT	575.489999999945	1350.0000027	n/a	n/a	2021-03-16 14:17:24.261864	2021-03-16 14:17:25.044341	4	7.06325595	False	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	LEFT	RIGHT	1257.88120000004	683.3333347	n/a	n/a	2021-03-16 14:17:25.747137	2021-03-16 14:17:27.213469	5	7.06325595	True	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	LEFT	LEFT	743.688600000041	916.6666685	n/a	n/a	2021-03-16 14:17:28.150029	2021-03-16 14:17:29.101499	6	7.06325595	False	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	RIGHT	RIGHT	564.512199999967	800.0000016	n/a	n/a	2021-03-16 14:17:29.921083	2021-03-16 14:17:30.693700	7	7.06325595	False	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	LEFT	LEFT	467.824299999961	816.6666683	n/a	n/a	2021-03-16 14:17:31.529010	2021-03-16 14:17:32.206013	8	7.06325595	False	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	LEFT	LEFT	503.031699999951	716.6666681	n/a	n/a	2021-03-16 14:17:32.942642	2021-03-16 14:17:33.653200	9	7.06325595	False	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	RIGHT	RIGHT	472.901400000069	900.0000018	n/a	n/a	2021-03-16 14:17:34.572331	2021-03-16 14:17:35.252511	10	7.06325595	False	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	RIGHT	LEFT	434.907899999985	1483.3333363	n/a	n/a	2021-03-16 14:17:36.754258	2021-03-16 14:17:37.398062	11	7.06325595	True	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	RIGHT	Time_Max_Exceeded	1500.09349999993	1416.6666695	n/a	n/a	2021-03-16 14:17:38.835161	2021-03-16 14:17:40.335176	12	7.06325595	True	n/a	n/a	n/a	n/a
S210316	Conflict_Resolution	RIGHT	RIGHT	710.980800000016	1483.3333363	n/a	n/a	2021-03-16 14:17:41.838777	2021-03-16 14:17:42.759035	13	7.06325595	False	n/a	n/a	n/a	n/a
