Participant	Task	Stimulus_Side	Response	RT	ITI	Previous_Response	Previous_RT	Trial_Onset	Trial_End	Trial_Order	Duration	Conflict	Cue_Response	Cue_Response_RT	Stop_Signal	Stop_Signal_RT
S200311	Conflict_Resolution	RIGHT	RIGHT	850.618900000086	1033.3333354	n/a	n/a	2020-03-11 13:10:31.095466	2020-03-11 13:10:32.154087	1	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	393.460300000015	1050.0000021	n/a	n/a	2020-03-11 13:10:33.224804	2020-03-11 13:10:33.826480	2	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	558.187699999962	583.3333345	n/a	n/a	2020-03-11 13:10:34.427873	2020-03-11 13:10:35.194859	3	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	392.250600000011	1266.6666692	n/a	n/a	2020-03-11 13:10:36.482098	2020-03-11 13:10:37.083067	4	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	527.951900000062	1050.0000021	n/a	n/a	2020-03-11 13:10:38.154028	2020-03-11 13:10:38.889478	5	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	443.478700000014	1216.6666691	n/a	n/a	2020-03-11 13:10:40.126296	2020-03-11 13:10:40.778162	6	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	LEFT	434.954400000038	633.3333346	n/a	n/a	2020-03-11 13:10:41.431417	2020-03-11 13:10:42.074510	7	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	507.393499999921	783.3333349	n/a	n/a	2020-03-11 13:10:42.878382	2020-03-11 13:10:43.593362	8	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	357.814699999949	1366.6666694	n/a	n/a	2020-03-11 13:10:44.980563	2020-03-11 13:10:45.546676	9	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	369.281199999932	850.0000017	n/a	n/a	2020-03-11 13:10:46.424667	2020-03-11 13:10:47.003711	10	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	671.872200000053	1266.6666692	n/a	n/a	2020-03-11 13:10:48.290066	2020-03-11 13:10:49.171706	11	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	RIGHT	386.533200000031	1016.6666687	n/a	n/a	2020-03-11 13:10:50.207699	2020-03-11 13:10:50.803697	12	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	539.792799999987	783.3333349	n/a	n/a	2020-03-11 13:10:51.605771	2020-03-11 13:10:52.354764	13	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	410.622400000079	633.3333346	n/a	n/a	2020-03-11 13:10:53.007519	2020-03-11 13:10:53.625407	14	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	529.534799999965	816.6666683	n/a	n/a	2020-03-11 13:10:54.463812	2020-03-11 13:10:55.201476	15	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	415.180599999985	733.3333348	n/a	n/a	2020-03-11 13:10:55.955154	2020-03-11 13:10:56.577533	16	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	395.640599999979	1433.3333362	n/a	n/a	2020-03-11 13:10:58.030712	2020-03-11 13:10:58.634776	17	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	489.423999999985	633.3333346	n/a	n/a	2020-03-11 13:10:59.288693	2020-03-11 13:10:59.985956	18	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	RIGHT	389.905399999975	1316.6666693	n/a	n/a	2020-03-11 13:11:01.323665	2020-03-11 13:11:01.922826	19	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	392.85730000006	666.666668	n/a	n/a	2020-03-11 13:11:02.609567	2020-03-11 13:11:03.209874	20	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	586.903399999983	1450.0000029	n/a	n/a	2020-03-11 13:11:04.679296	2020-03-11 13:11:05.474240	21	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	531.852000000072	983.3333353	n/a	n/a	2020-03-11 13:11:06.478207	2020-03-11 13:11:07.218444	22	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	438.570000000027	750.0000015	n/a	n/a	2020-03-11 13:11:07.987539	2020-03-11 13:11:08.634345	23	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	610.747599999968	600.0000012	n/a	n/a	2020-03-11 13:11:09.255154	2020-03-11 13:11:10.075012	24	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	457.227800000055	633.3333346	n/a	n/a	2020-03-11 13:11:10.728860	2020-03-11 13:11:11.394954	25	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	475.192799999945	1400.0000028	n/a	n/a	2020-03-11 13:11:12.814420	2020-03-11 13:11:13.497568	26	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	708.547500000009	583.3333345	n/a	n/a	2020-03-11 13:11:14.101598	2020-03-11 13:11:15.017265	27	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	587.538300000006	1266.6666692	n/a	n/a	2020-03-11 13:11:16.301894	2020-03-11 13:11:17.097808	28	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	591.227000000003	533.3333344	n/a	n/a	2020-03-11 13:11:17.650507	2020-03-11 13:11:18.450740	29	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	437.447499999962	1083.3333355	n/a	n/a	2020-03-11 13:11:19.556447	2020-03-11 13:11:20.202038	30	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	404.895499999952	783.3333349	n/a	n/a	2020-03-11 13:11:21.005487	2020-03-11 13:11:21.617319	31	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	RIGHT	452.716399999986	1000.000002	n/a	n/a	2020-03-11 13:11:22.637223	2020-03-11 13:11:23.297496	32	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	466.188299999999	850.0000017	n/a	n/a	2020-03-11 13:11:24.168066	2020-03-11 13:11:24.842485	33	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	508.972599999993	600.0000012	n/a	n/a	2020-03-11 13:11:25.461100	2020-03-11 13:11:26.177866	34	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	615.248699999938	716.6666681	n/a	n/a	2020-03-11 13:11:26.915822	2020-03-11 13:11:27.740991	35	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	467.158899999959	983.3333353	n/a	n/a	2020-03-11 13:11:28.743114	2020-03-11 13:11:29.417455	36	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	472.300700000005	1316.6666693	n/a	n/a	2020-03-11 13:11:30.754131	2020-03-11 13:11:31.434577	37	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	500.2882	1416.6666695	n/a	n/a	2020-03-11 13:11:32.869136	2020-03-11 13:11:33.577344	38	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	494.729799999959	1350.0000027	n/a	n/a	2020-03-11 13:11:34.947381	2020-03-11 13:11:35.649417	39	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	581.012299999998	1433.3333362	n/a	n/a	2020-03-11 13:11:37.100862	2020-03-11 13:11:37.889180	40	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	429.058299999951	1200.0000024	n/a	n/a	2020-03-11 13:11:39.108859	2020-03-11 13:11:39.745709	41	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	607.294000000024	683.3333347	n/a	n/a	2020-03-11 13:11:40.450578	2020-03-11 13:11:41.266500	42	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	765.310599999907	1150.0000023	n/a	n/a	2020-03-11 13:11:42.436715	2020-03-11 13:11:43.410713	43	6.40810283333333	True	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	LEFT	LEFT	490.064800000027	1016.6666687	n/a	n/a	2020-03-11 13:11:44.448225	2020-03-11 13:11:45.145514	44	6.40810283333333	False	n/a	n/a	n/a	n/a
S200311	Conflict_Resolution	RIGHT	RIGHT	708.449500000029	1416.6666695	n/a	n/a	2020-03-11 13:11:46.581795	2020-03-11 13:11:47.498897	45	6.40810283333333	True	n/a	n/a	n/a	n/a
